"시도별",2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024
"시도별",엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤),엽채류:면적 (ha),엽채류:생산량 (톤),고랭지배추:면적 (ha),고랭지배추:10a당 생산량 (kg),고랭지배추:생산량 (톤)
"강원도",7853,370010,5099,3641,185655,7694,358041,4579,3525,161410,7566,314157,4368,3129,136675,6995,315073,3940,3068,120879,8127,443925,4733,4814,227851,8312,443540,4986,4908,244705,8228,439149,4597,4756,218631,8329,446263,4423,4457,197148,9348,470449,5143,4470,229873,8833,469254,4069,4393,178736,8512,441935,3774,4346,164037,8595,423693,3483,4264,148505
"전라남도",10309,663672,0,0,0,12138,944554,0,0,0,10224,814149,0,0,0,9640,715292,0,0,0,11257,839543,0,0,0,12226,932531,0,0,0,10017,712371,0,0,0,11888,862632,0,0,0,11285,789114,0,0,0,11249,831938,0,0,0,10207,745346,0,0,0,10567,723903,-,-,-
"경상북도",5663,310220,130,3916,5091,5697,314811,298,4403,13121,4438,249686,208,3671,7636,4144,231702,284,4689,13317,5620,329485,522,4477,23375,5431,330032,676,4792,32412,4242,260292,327,4193,13694,5020,297721,600,3929,23555,4425,229021,312,3850,11997,4806,276278,287,3846,11036,4993,271909,161,3764,6066,5043,290401,264,3764,9934
"경상남도",4021,163180,74,2556,1891,3654,155754,27,3498,944,3455,124470,24,5317,1276,3301,98278,65,5279,3431,2819,109210,6,5200,300,2732,95411,0,0,0,2741,82640,0,0,0,2654,95717,4,4740,175,1658,66968,8,4741,380,2364,87697,0,0,0,2574,72246,0,0,0,2488,77687,-,-,-
