"시도별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"시도별",합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤)
"강원도",57923,247798,33968,159030,165,327,7912,33046,9053,16164,6825,39231,55030,260520,33126,176588,144,315,7806,32402,8680,16879,5274,34336,51565,255056,32300,173676,179,310,7581,32038,5821,11257,5684,37775,48923,242777,30714,166396,119,269,6963,29719,5553,10008,5574,36385,47405,214490,29710,148347,153,310,6536,28014,5596,7740,5410,30079,46723,223472,29006,153944,128,270,6804,29942,5172,9048,5614,30268,47447,228111,28640,150901,166,369,6239,23823,5925,10952,6476,42066,46615,203894,28405,127387,177,398,6289,30972,5940,9560,5804,35576,47487,237439,28903,155501,180,392,6883,33535,5275,10899,6246,37112,46542,221240,28708,143908,98,201,6317,30740,5741,10054,5678,36338,46606,231810,28335,149712,75,176,7115,33114,4966,10428,6115,38379,45697,225818,27651,145893,27,53,6634,32264,5226,10333,6160,37276,-,-,27113,142509,-,-,-,-,-,-,-,-
"전라남도",209990,918864,170690,822795,10678,26259,3311,6389,17950,26561,7361,36860,209472,912913,169585,809201,14123,40734,3172,7056,15945,20519,6647,35403,213196,971335,170185,866202,19279,41923,3790,8325,13368,20265,6574,34620,208699,953512,166444,846236,19513,46993,3746,7950,11439,16164,7557,36169,198473,935207,161442,827162,16452,47329,3232,8054,10340,16350,7007,36312,201050,885945,154970,766022,23823,54946,3009,7503,11384,15897,7865,41577,201216,890338,154091,725094,21940,72001,4231,15830,12178,16954,8777,60460,197026,808045,156230,687812,17874,51284,4555,14640,9939,12339,8428,41971,192407,917176,155435,789650,14491,48612,4657,19413,9380,15918,8444,43583,192493,867716,154679,742913,12932,39869,5157,19199,10973,20674,8753,45061,191133,879301,149878,736985,15010,46749,6772,24730,10641,20526,8832,50312,191188,840704,147738,709368,12130,29232,10540,30138,12258,22049,8522,49917,-,-,142443,686504,-,-,-,-,-,-,-,-
"경상북도",136052,649911,108501,572207,1014,2653,2593,6024,17571,35380,6373,33647,130353,630922,106832,570082,1038,2397,2301,5932,15206,28326,4976,24185,124445,639784,104712,589466,968,2040,2686,6278,11597,20011,4482,21989,121768,623278,102941,576643,1303,3533,2246,5647,9914,13405,5364,24050,117059,592623,99551,549474,1394,3357,1960,5210,9831,17511,4323,17071,116647,584378,98066,534968,1200,3004,1942,5836,10542,18776,4898,21794,116360,584192,97465,529210,1201,3511,1777,6896,10762,21264,5155,23311,115072,541636,97257,495058,1456,3319,1471,5623,10118,17258,4770,20378,113316,571131,95837,518025,823,2085,1467,5480,10953,24981,4235,20559,113454,558336,94757,511392,609,1322,1477,5025,12887,24905,3724,15692,111524,548995,93252,501248,757,2170,1653,5240,12063,22850,3799,17486,109443,533454,89339,479887,976,2634,1877,6295,13158,24830,4092,19808,-,-,86616,474157,-,-,-,-,-,-,-,-
"경상남도",95053,436829,77732,392561,5625,14740,1043,3116,6815,9876,3838,16536,92714,421852,76158,376568,5819,17495,1041,3521,6549,9947,3147,14322,89736,431744,73934,389866,6455,14909,1177,3943,5195,10029,2975,12997,86754,410236,70626,369032,7053,16675,1237,4522,4561,6100,3277,13907,82434,402561,67895,359186,5824,16635,1488,5596,4141,7968,3085,13176,80972,374280,65681,334664,6519,15230,1485,5890,4275,6150,3012,12346,80477,376063,65979,332096,5225,14850,1338,5928,4149,6284,3786,16905,78867,362807,65028,314333,4707,13040,1260,13431,3901,6008,3970,15995,75005,375426,64079,338698,3348,10509,1046,6575,3555,5939,2977,13705,75329,368004,64481,330604,2945,8392,1103,10107,3743,6409,3058,12491,73466,357978,63437,324842,2593,7598,997,6516,3702,6694,2737,12328,73069,347361,62479,313983,2288,5901,1832,8028,3795,6593,2675,12856,-,-,60225,305247,-,-,-,-,-,-,-,-
