"시도별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤),근채류:면적 (ha),근채류:생산량 (톤),무:면적 (ha),무:생산량 (톤),노지무:면적 (ha),노지무:10a당 생산량 (kg),노지무:생산량 (톤),노지봄무:면적 (ha),노지봄무:10a당 생산량 (kg),노지봄무:생산량 (톤),일반봄무:면적 (ha),일반봄무:10a당 생산량 (kg),일반봄무:생산량 (톤),고랭지무:면적 (ha),고랭지무:10a당 생산량 (kg),고랭지무:생산량 (톤),노지가을무:면적 (ha),노지가을무:10a당 생산량 (kg),노지가을무:생산량 (톤),가을일반무:면적 (ha),가을일반무:10a당 생산량 (kg),가을일반무:생산량 (톤),가을총각무:면적 (ha),가을총각무:10a당 생산량 (kg),가을총각무:생산량 (톤),노지겨울무:면적 (ha),노지겨울무:10a당 생산량 (kg),노지겨울무:생산량 (톤),시설무:면적 (ha),시설무:10a당 생산량 (kg),시설무:생산량 (톤),당근:면적 (ha),당근:10a당 생산량 (kg),당근:생산량 (톤)
"강원도",3213,111452,3113,108410,3095,3482,107781,2730,3012,82220,715,3600,25740,2015,2803,56480,365,7003,25561,328,7284,23891,37,4514,1670,0,0,0,18,3492,629,100,3042,3042,3398,118595,3316,116073,3303,3504,115721,2962,3076,91097,484,3493,16906,2478,2994,74191,341,7221,24624,303,7612,23065,38,4103,1559,0,0,0,13,2711,352,82,3075,2522,3030,106741,2922,103950,2921,3558,103923,2567,3062,78601,654,3410,22301,1913,2943,56300,354,7153,25322,301,7699,23175,53,4051,2147,0,0,0,1,2740,27,108,2584,2791,3542,130847,3221,123207,3194,3834,122470,2872,3485,100078,492,3623,17825,2380,3456,82253,322,6954,22392,266,7321,19473,56,5212,2919,0,0,0,27,2728,737,321,2380,7640,3834,138877,3670,134451,3644,3670,133724,3347,3403,113885,755,3481,26282,2592,3380,87603,297,6678,19839,257,6965,17900,40,4837,1939,0,0,0,26,2819,727,165,2689,4426,3732,134121,3598,130663,3563,3642,129768,3167,3276,103755,484,3506,16961,2683,3235,86794,396,6562,26013,356,6877,24505,40,3761,1508,0,0,0,35,2557,895,134,2584,3458,3355,129464,3062,121547,3046,3976,121111,2584,3524,91059,400,3718,14886,2183,3489,76173,463,6495,30052,403,6750,27179,60,4782,2873,0,0,0,16,2788,436,293,2706,7917,3662,149764,3178,135043,3154,4261,134414,2615,3993,104405,266,4074,10838,2349,3984,93567,537,5589,29990,471,5799,27326,65,4079,2665,3,629,19,23,2682,629,485,3038,14721,4418,182932,3848,165611,3809,4320,164542,3271,4132,135139,716,4074,29170,2555,4148,105969,538,5464,29403,431,5854,25222,107,3897,4181,0,0,0,39,2730,1069,570,3038,17321,3637,156726,3476,151846,3403,4404,149835,2868,4122,118213,592,4092,24206,2276,4130,94007,535,5913,31622,444,6424,28539,91,3403,3083,0,0,0,73,2743,2011,161,3037,4880,4009,161872,3842,156725,3786,4106,155449,3184,3642,115978,337,4034,13601,2847,3596,102378,601,6562,39470,483,7041,33988,119,4617,5482,0,0,0,56,2271,1277,167,3086,5147,3516,139596,3048,125177,3035,4114,124880,2618,3806,99664,344,4061,13953,2275,3768,85711,417,6049,25215,348,6459,22491,69,3971,2724,-,-,-,13,2289,298,467,3086,14419
"전라남도",2060,142123,2024,141152,1738,7513,130579,551,4828,26602,551,4828,26602,0,0,0,1187,8760,103977,1058,9286,98251,129,4439,5726,0,0,0,286,3697,10573,36,2697,971,1814,110844,1753,109218,1389,6864,95335,574,4562,26186,574,4562,26186,0,0,0,815,8485,69149,752,8805,66216,63,4656,2933,0,0,0,364,3814,13883,61,2665,1626,1885,121371,1842,120305,1520,7132,108401,533,4538,24188,533,4538,24188,0,0,0,987,8532,84213,750,9539,71543,237,5346,12669,0,0,0,322,3697,11904,43,2480,1066,1770,113035,1755,112629,1459,6999,102118,420,5172,21722,420,5172,21722,0,0,0,1039,7738,80396,836,8610,71978,203,4147,8418,0,0,0,296,3551,10511,15,2708,406,1834,122480,1811,121893,1616,7096,114686,498,4698,23375,498,4698,23375,0,0,0,1119,8163,91311,902,9127,82288,217,4157,9024,0,0,0,194,3708,7207,23,2526,587,1870,111875,1847,111397,1590,6443,102412,557,3826,21309,557,3826,21309,0,0,0,1033,7854,81103,764,9134,69818,268,4207,11285,0,0,0,257,3492,8985,24,2027,478,1629,98816,1579,97629,1358,6480,87977,561,4440,24924,561,4440,24924,0,0,0,796,7918,63053,656,8733,57298,140,4106,5755,0,0,0,221,4365,9652,50,2355,1187,2200,130079,1965,124506,1636,6732,110154,616,4897,30189,435,4687,20375,182,5401,9814,838,8376,70206,813,8489,69020,25,4724,1185,182,5371,9759,329,4362,14352,234,2379,5573,1611,104065,1554,102422,1292,7043,90997,322,4687,15108,322,4687,15108,0,0,0,970,7826,75888,764,8670,66241,206,4691,9647,0,2192,1,262,4362,11425,57,2894,1643,1607,121190,1565,119927,1375,8184,112523,298,4687,13962,298,4687,13962,0,0,0,1071,9188,98434,873,10272,89642,199,4427,8792,6,2192,127,190,3897,7404,43,2971,1263,1710,120451,1653,119261,1505,7533,113362,512,4687,24006,512,4687,24006,0,0,0,976,9117,89001,843,9915,83621,133,4052,5380,16,2154,355,148,3981,5899,57,2087,1191,1648,109525,1607,108659,1416,7150,101270,528,4687,24742,528,4687,24742,-,-,-,888,8615,76527,661,9650,63783,227,5605,12743,0,2154,1,190,3883,7389,42,2078,866
"경상북도",2188,80812,1868,73695,1654,3997,66104,1229,3268,40163,1155,3295,38057,74,2846,2106,425,6104,25941,408,6170,25173,17,4514,767,0,0,0,214,3547,7591,320,2224,7117,1981,78168,1612,69249,1422,4372,62166,1089,3450,37571,1022,3502,35790,67,2658,1781,333,7386,24595,325,7467,24267,8,4103,328,0,0,0,190,3728,7083,369,2417,8919,1581,74360,1303,67090,1189,5267,62625,812,4196,34071,766,4254,32586,46,3228,1485,377,7574,28554,377,7574,28554,0,0,0,0,0,0,114,3917,4465,278,2615,7270,1798,70528,1577,64610,1516,4110,62302,1181,3595,42460,1062,3752,39846,119,2197,2614,335,5923,19842,334,5925,19790,1,5212,52,0,0,0,61,3783,2308,221,2678,5918,2508,86978,2278,82542,2217,3662,81198,1691,2842,48051,1473,2931,43188,217,2239,4863,527,6292,33147,525,6295,33027,2,5629,120,0,0,0,60,2232,1344,230,1928,4436,1948,81363,1670,76233,1568,4629,72600,1219,4124,50278,1137,4271,48566,82,2088,1712,349,6390,22322,349,6392,22308,0,4431,15,0,0,0,102,3569,3633,278,1844,5130,1657,55827,1485,52460,1452,3526,51184,1229,3047,37432,1177,3094,36424,51,1961,1008,223,6166,13752,221,6187,13687,2,3561,65,0,0,0,34,3800,1276,171,1964,3367,1757,61129,1569,56162,1502,3595,54000,1186,2903,34423,1082,3002,32490,103,1868,1933,316,6189,19577,314,6200,19488,2,4374,89,0,0,0,67,3251,2162,188,2642,4967,1562,56079,1411,52063,1388,3697,51301,984,2773,27275,873,2893,25264,110,1824,2011,404,5945,24026,351,6272,22046,53,3763,1980,0,0,0,23,3295,762,151,2662,4016,1529,62327,1395,58741,1377,4220,58134,940,2759,25920,899,2800,25168,41,1850,752,438,7356,32214,434,7381,32052,4,4427,162,0,0,0,18,3438,607,134,2682,3586,1766,74732,1562,69220,1541,4433,68333,955,3110,29689,945,3123,29515,9,1842,174,587,6585,38644,569,6696,38096,18,3058,549,0,0,0,20,4410,887,205,2690,5512,1414,58087,1223,52972,1196,4351,52031,784,3329,26098,784,3330,26090,0,1820,8,412,6297,25933,410,6306,25865,2,4182,68,-,-,-,27,3438,942,191,2684,5115
"경상남도",1029,51603,633,37121,540,6353,34308,248,3880,9622,221,3919,8661,27,3560,961,292,8454,24686,292,8454,24686,0,0,0,0,0,0,93,3025,2813,396,3657,14482,731,30958,483,23441,443,5018,22231,208,1626,3382,208,1626,3382,0,0,0,235,8021,18849,235,8021,18849,0,0,0,0,0,0,40,3025,1210,248,3031,7517,1461,74081,503,34899,460,7119,32749,207,3821,7909,207,3821,7909,0,0,0,253,9818,24840,253,9818,24840,0,0,0,0,0,0,43,5000,2150,958,4090,39182,1148,51758,482,24212,436,5026,21912,273,3680,10046,273,3680,10046,0,0,0,163,7279,11866,163,7279,11866,0,0,0,0,0,0,46,5000,2300,666,4136,27546,1418,72325,781,45271,671,5929,39806,363,3796,13769,357,3805,13582,6,3240,187,309,8435,26037,308,8444,26010,1,4157,26,0,0,0,109,5000,5465,637,4246,27054,1406,69348,727,39880,662,5609,37139,411,3583,14734,387,3465,13407,24,5478,1327,251,8928,22405,251,8928,22405,0,0,0,0,0,0,64,4250,2741,679,4339,29468,1312,64899,690,39233,643,5837,37539,345,3847,13277,345,3847,13277,0,0,0,298,8141,24262,297,8153,24226,1,4106,36,0,0,0,47,3600,1694,621,4130,25666,1454,66408,609,31490,521,5436,28346,349,3840,13383,348,3840,13376,0,3897,7,173,8655,14955,173,8656,14953,0,4374,2,0,4572,8,87,3600,3144,845,4131,34918,1198,59619,344,24305,316,7378,23278,116,3862,4486,114,3861,4396,2,3897,90,199,9427,18792,199,9433,18783,0,3763,9,0,0,0,28,3634,1027,854,4133,35314,1202,57426,425,25316,400,6095,24357,230,3964,9118,230,3964,9118,0,0,0,170,8987,15239,170,8987,15239,0,0,0,0,0,0,25,3832,959,777,4133,32110,1132,56652,503,30696,488,6169,30113,242,3917,9498,242,3917,9498,0,0,0,246,8392,20615,245,8401,20603,0,3058,12,0,0,0,15,3821,582,628,4130,25956,1347,58895,560,29356,545,5285,28825,351,3909,13727,351,3909,13727,-,-,-,194,7773,15098,193,7797,15044,1,4182,54,-,-,-,15,3592,531,787,3753,29539
