"시도별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),기타:면적 (ha),기타:10a당 생산량 (kg),기타:생산량 (톤)
"강원도",2419,12540,516,500,2578,132,1562,2062,548,418,2289,209,1323,2766,3,533,16,261,343,894,8,488,39,253,338,855,75,493,370,675,232,1565,2472,13977,522,426,2225,137,1134,1553,538,646,3478,235,1456,3421,0,0,0,280,399,1116,39,167,65,241,436,1051,72,456,328,688,270,1856,2832,16656,721,620,4472,134,1432,1919,596,607,3619,200,1328,2655,0,0,0,266,566,1506,25,264,66,241,598,1440,74,592,438,841,243,2047,3230,22249,831,695,5778,159,1459,2320,558,719,4012,324,1680,5442,0,0,0,278,806,2241,6,533,32,272,812,2209,37,516,191,1043,217,2265,3469,22071,930,597,5550,190,1784,3387,551,728,4009,289,1207,3487,0,0,0,234,973,2279,6,499,30,228,985,2249,52,425,222,1222,257,3137,3413,18953,947,581,5506,182,1253,2274,559,691,3861,254,1049,2663,0,0,0,246,760,1874,1,357,4,245,762,1870,41,403,167,1184,220,2608,3640,24904,1092,960,10486,204,1513,3080,590,716,4224,258,953,2454,0,0,0,262,751,1971,3,446,14,259,755,1957,62,356,221,169,230,388,1004,207,2080,3526,21062,1124,731,8215,140,845,1185,584,660,3851,265,953,2530,0,0,0,272,714,1940,2,391,9,269,717,1931,80,522,417,158,400,633,903,254,2290,4228,38798,1579,1489,23503,133,1209,1610,735,746,5483,216,1160,2510,0,0,0,265,660,1753,2,390,7,264,662,1746,106,612,651,137,351,481,1056,266,2807,4339,41085,1630,1524,24852,137,1141,1565,770,746,5741,222,1097,2439,0,0,0,287,816,2343,5,391,20,282,824,2323,135,718,973,105,363,381,1052,265,2791,4387,34446,1679,1175,19729,140,635,889,815,697,5679,192,1157,2218,0,0,0,263,759,2000,7,426,30,256,768,1971,114,577,657,117,362,422,1068,267,2853,4443,39039,1748,1299,22699,122,1304,1590,751,815,6124,227,1124,2550,-,-,-,271,712,1927,7,422,29,264,719,1899,110,581,638,115,360,415,1098,282,3095
"전라남도",18896,178172,300,1496,4489,3602,2440,87893,432,479,2068,372,876,3260,23,1161,267,6631,665,44085,3623,864,31288,3008,425,12797,84,244,205,7452,482,35905,18775,208238,308,1642,5058,3457,2746,94913,480,395,1895,292,1242,3628,21,914,192,6457,929,59972,3477,1041,36180,2980,798,23792,94,317,298,7666,552,42282,18909,203064,289,1841,5320,3499,2457,85980,506,445,2252,281,1380,3877,19,711,135,6055,1014,61379,3108,1093,33966,2947,930,27413,86,228,196,8174,537,43925,18719,209562,554,1674,9274,2499,2766,69119,692,989,6841,283,1118,3165,0,0,0,6026,1055,63579,3028,1043,31573,2998,1068,32006,53,432,229,8612,666,57355,18545,213407,533,1429,7621,2450,2800,68601,759,641,4861,287,1379,3952,84,1703,1428,5791,1276,73876,2928,1147,33574,2863,1408,40302,65,425,277,8577,616,52791,18040,172610,545,730,3984,2330,2212,51530,710,615,4364,275,1291,3549,92,1405,1289,5607,1079,60497,2673,1100,29419,2933,1059,31078,75,331,249,8407,561,47148,17710,168139,557,982,5471,2230,2268,50582,780,793,6187,306,1069,3275,58,1227,707,5441,965,52483,2500,901,22529,2942,1018,29954,75,771,578,3796,524,19882,4466,649,28974,17003,118215,562,524,2944,2143,1297,27788,788,723,5702,271,917,2482,62,966,600,5204,700,36439,2351,864,20320,2853,565,16119,78,303,237,3479,424,14739,4416,618,27284,15099,146345,208,787,1635,2552,2695,68762,777,744,5779,224,989,2215,110,1065,1175,4819,687,33119,1957,948,18548,2862,509,14571,109,167,182,2623,439,11523,3678,597,21955,16210,173076,218,1077,2351,2729,3256,88866,911,717,6532,247,875,2163,74,1145,845,5213,723,37709,2197,936,20551,3016,569,17158,107,211,226,2779,465,12924,3931,546,21460,16031,134064,240,450,1080,2710,2300,62346,966,507,4898,269,1019,2741,109,1152,1258,5039,613,30894,2080,824,17132,2960,465,13762,93,291,270,2579,415,10699,4025,494,19879,15834,136417,231,228,528,2686,1996,53613,923,494,4556,304,960,2921,120,1022,1228,4989,734,36621,2058,918,18901,2931,605,17720,85,241,206,2416,356,8596,4079,690,28148
"경상북도",53974,665294,18895,1636,309129,1748,1910,33387,7180,1015,72883,8247,1397,115243,0,0,0,7968,1016,80929,905,952,8618,7063,1024,72311,4706,769,36205,5230,335,17518,54097,680863,18811,1554,292340,1536,2009,30859,7903,974,76988,8069,1477,119166,0,0,0,7574,1307,98981,745,971,7233,6829,1344,91748,4756,815,38771,5448,436,23758,54396,763459,19247,1936,372627,1422,1744,24800,8412,1063,89403,7714,1550,119549,0,0,0,7166,1283,91924,716,969,6936,6450,1318,84988,4933,833,41071,5502,438,24085,57029,803755,20083,1831,367710,1309,1808,23664,9288,1138,105700,7786,1725,134328,0,0,0,6625,1373,90939,541,977,5283,6084,1408,85656,5999,940,56414,5939,421,25000,56887,769889,20178,1675,338034,1287,2211,28449,9658,1180,114007,6809,1595,108602,0,0,0,6715,1450,97386,554,968,5360,6162,1493,92026,6208,905,56209,6032,451,27202,55968,696130,19780,1594,315230,1223,1622,19831,9767,1113,108693,6769,1416,95840,4,0,0,6437,1344,86537,556,890,4948,5882,1387,81589,6090,765,46609,5897,397,23390,54768,709289,19462,1737,338085,1165,1835,21378,9578,1103,105669,6773,1305,88416,7,162,12,6128,1500,91937,473,932,4412,5655,1548,87525,5885,741,43631,725,399,2894,5046,342,17267,54294,610536,18705,1486,277942,1081,999,10796,9764,1008,98440,7202,1250,90022,20,179,36,5952,978,58195,468,718,3358,5484,1000,54836,5997,717,42978,613,394,2414,4961,599,29713,53482,645467,20955,1475,309034,1106,2060,22793,9432,1076,101503,7258,1256,91140,13,391,51,5043,1028,51863,474,864,4092,4569,1046,47771,5391,807,43491,381,430,1638,3902,614,23954,55334,682341,20685,1598,330532,1005,2719,27318,10017,1011,101250,8203,1271,104288,13,292,37,5233,1077,56372,434,850,3689,4799,1098,52683,5376,842,45284,365,403,1474,4437,356,15786,54551,582700,20046,1222,244990,986,2013,19855,10002,952,95221,8308,1311,108907,12,296,37,5144,1103,56721,428,662,2832,4716,1143,53889,5232,800,41853,308,419,1290,4511,306,13827,52695,652307,19257,1486,286099,970,2149,20840,10252,1019,104457,8206,1590,130512,14,227,32,5159,1196,61689,418,630,2635,4741,1246,59055,4362,808,35252,292,384,1123,4183,294,12304
"경상남도",19376,219082,3148,1816,57142,996,1477,14682,359,1025,3680,460,1265,5817,0,0,0,9633,1184,114023,7358,1324,97455,2275,728,16568,225,750,1688,4555,484,22050,19988,265189,3370,1862,62716,935,2168,20268,359,1125,4040,442,1186,5240,5,0,0,9507,1494,142069,7182,1717,123283,2325,808,18786,226,808,1826,5144,564,29030,20011,247447,3444,1966,67491,835,1390,11562,371,1046,3880,472,1387,6547,0,0,0,9427,1361,128277,7064,1535,108433,2363,840,19844,249,774,1927,5213,533,27763,17933,196880,3339,1531,51134,641,1260,8077,365,909,3319,306,1387,4243,0,0,0,8155,1246,101651,5623,1431,80455,2532,837,21196,216,520,1124,4911,557,27332,17973,193267,3387,1588,53782,633,1597,10104,398,991,3941,297,1373,4081,0,0,0,8010,1154,92396,5371,1283,68933,2638,889,23463,223,480,1070,5026,555,27893,17908,180199,3374,1496,50461,585,1396,8166,484,798,3862,304,1335,4055,5,109,5,7749,1090,84465,5150,1239,63782,2599,796,20683,231,518,1195,5177,541,27990,17109,186986,3313,1875,62136,435,1207,5245,492,992,4876,309,1624,5023,6,33,2,7451,1104,82270,4928,1292,63656,2523,738,18614,278,655,1822,1597,633,10108,3227,480,15504,16398,166680,3340,1443,48194,303,966,2924,487,1173,5716,359,1133,4070,6,19,1,7076,1085,76745,4819,1251,60307,2257,728,16439,285,837,2382,1403,698,9794,3139,537,16853,17347,192765,3774,1789,67524,423,1167,4936,472,877,4145,316,986,3113,14,332,48,8010,1106,88612,5944,1214,72131,2067,797,16481,281,567,1592,1168,684,7982,2889,513,14813,18748,213211,3820,2031,77610,492,1368,6727,492,878,4317,386,822,3176,14,1019,142,8652,1102,95317,6341,1185,75155,2311,873,20162,323,564,1825,1298,571,7418,3270,510,16679,18568,154739,3768,1281,48286,475,510,2425,489,702,3432,403,855,3445,13,1004,134,8592,861,73948,6159,964,59399,2432,598,14549,322,462,1485,1180,488,5751,3326,476,15833,18745,175326,3711,1416,52553,475,1246,5924,567,740,4195,418,913,3817,11,954,109,8682,970,84223,6234,1064,66355,2448,730,17868,369,571,2106,1097,528,5787,3415,486,16610
