지점명,일시,지점,SPI1,SPI2,SPI3,SPI4,SPI5,SPI6,SPI9,SPI12,SPI18,SPI24,연도,월
강릉,2015-01-31,105.0,-1.1534516129032257,-0.8851935483870967,-0.32438709677419353,-0.21961290322580646,-0.1524516129032258,-0.013677419354838712,-0.46783870967741936,-0.028064516129032258,-1.014483870967742,-1.1857741935483872,2015,1
강릉,2015-02-28,105.0,-0.6733928571428571,-1.3785,-1.4288214285714285,-0.6108214285714286,-0.3756785714285714,-0.30853571428571425,-0.8022857142857143,-0.5225,-0.6819285714285714,-1.1901071428571428,2015,2
강릉,2015-03-31,105.0,-1.164548387096774,-1.4261612903225807,-2.0009032258064514,-1.6508387096774195,-0.9791290322580646,-0.666741935483871,-0.7928064516129032,-0.7524838709677418,-0.4731290322580645,-1.3699999999999999,2015,3
강릉,2015-04-30,105.0,0.10453333333333334,-0.8019999999999999,-1.0887333333333333,-1.3913333333333333,-1.3909333333333334,-0.9442,-0.3511666666666667,-0.7797999999999999,-0.6733666666666667,-1.3591000000000002,2015,4
강릉,2015-05-31,105.0,-1.6944193548387096,-0.9256774193548387,-1.5003225806451612,-1.7812903225806451,-2.345516129032258,-2.1931290322580645,-0.841774193548387,-1.2463548387096774,-0.6044838709677419,-1.4928709677419354,2015,5
강릉,2015-06-30,105.0,-1.4282,-1.7992,-1.3674,-1.6612,-1.9332333333333334,-2.4378666666666664,-1.3014666666666665,-1.183,-0.6952333333333333,-1.4758,2015,6
강릉,2015-07-31,105.0,-0.025161290322580646,-0.39935483870967736,-0.980225806451613,-0.8920322580645161,-1.2521612903225807,-1.4861612903225805,-1.5115806451612903,-0.8129032258064516,-0.6493548387096774,-1.8479999999999999,2015,7
강릉,2015-08-31,105.0,-1.420774193548387,-0.819,-1.2258064516129032,-1.7669032258064516,-1.4815806451612903,-1.7084193548387097,-2.076258064516129,-1.477483870967742,-1.340483870967742,-1.3270645161290324,2015,8
강릉,2015-09-30,105.0,-0.28653333333333336,-0.9382,-0.9304333333333333,-1.1309333333333333,-1.4197,-1.3669,-1.8303333333333331,-1.543,-1.5610333333333335,-1.1794333333333333,2015,9
강릉,2015-10-31,105.0,-1.235516129032258,-1.024483870967742,-1.4656774193548388,-1.471967741935484,-1.6110645161290322,-2.0199032258064515,-2.1779032258064515,-2.291967741935484,-1.9855806451612903,-1.636548387096774,2015,10
강릉,2015-11-30,105.0,0.9148,0.07613333333333333,-0.39503333333333335,-0.8694000000000001,-0.9240666666666667,-1.1069666666666664,-1.5156333333333334,-1.9109666666666667,-1.6750333333333332,-1.1534666666666666,2015,11
강릉,2015-12-31,105.0,1.0829354838709677,1.6804516129032259,0.7456129032258064,0.17170967741935483,-0.30848387096774194,-0.4568387096774193,-0.7956129032258065,-1.3488709677419355,-1.1184516129032258,-0.8081290322580645,2015,12
강릉,2016-01-31,105.0,-1.2328709677419356,0.175741935483871,1.400741935483871,0.4722903225806452,-0.03583870967741935,-0.47735483870967743,-0.9296129032258065,-1.2528064516129032,-0.9626774193548387,-0.9192258064516129,2016,1
강릉,2016-02-29,105.0,0.07785714285714286,-0.48078571428571426,0.46475,1.1938571428571427,0.38289285714285715,-0.06717857142857143,-0.7435357142857143,-1.14325,-1.2022499999999998,-1.2121071428571428,2016,2
강릉,2016-03-31,105.0,-0.30738709677419357,-0.25083870967741934,-0.5814193548387097,0.2575483870967742,0.9657096774193549,0.27187096774193553,-0.7084516129032258,-1.0637419354838709,-1.381516129032258,-1.2721290322580645,2016,3
강릉,2016-04-30,105.0,-0.29933333333333334,-0.5622333333333334,-0.5057666666666667,-0.7675666666666667,0.10496666666666667,0.8635,-0.6531,-1.1047333333333333,-1.5971666666666666,-1.3620666666666668,2016,4
강릉,2016-05-31,105.0,-0.4371612903225806,-0.6287741935483872,-0.8268387096774193,-0.7363225806451613,-0.9854193548387096,-0.14793548387096772,-0.3333225806451613,-0.9478064516129032,-1.8800322580645161,-1.522225806451613,2016,5
강릉,2016-06-30,105.0,-1.3745,-1.4579,-1.3768333333333334,-1.3475,-1.2425666666666666,-1.5111333333333334,-0.27226666666666666,-1.1221666666666665,-2.0442666666666667,-1.5642666666666665,2016,6
강릉,2016-07-31,105.0,1.137032258064516,0.7133225806451613,0.48506451612903223,0.2980645161290323,0.12338709677419356,0.0655483870967742,0.899483870967742,-0.295,-1.0813870967741936,-0.8759032258064515,2016,7
강릉,2016-08-31,105.0,-0.24277419354838708,0.7435483870967742,0.42951612903225805,0.2591612903225807,0.14680645161290323,-0.002999999999999999,0.07667741935483871,-0.008419354838709673,-0.9032258064516129,-1.0629354838709677,2016,8
강릉,2016-09-30,105.0,0.18676666666666666,-0.16456666666666667,0.4857666666666667,0.2319,0.1383,0.0614,-0.27586666666666665,0.09403333333333334,-0.731,-1.0137333333333334,2016,9
