지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),합계 일조시간(hr),최심적설(cm)
90,속초,2015-01,1.8,12.2,-7.9,8.7,2.2,11.5,185.6,3
90,속초,2015-02,2.4,14.5,-10.4,32.1,2.5,9.6,189.3,8.7
90,속초,2015-03,6.6,21.4,-5,8,2.5,10.6,275.9,
90,속초,2015-04,11.1,29.8,1.2,74.2,2.5,10.2,185.4,
90,속초,2015-05,17.8,32.6,7.8,9.2,2.4,10.3,298.6,
90,속초,2015-06,19.5,30.1,12.7,127.7,2.1,10.1,191,
90,속초,2015-07,22.7,35.4,14.8,163.1,1.9,9.3,171.2,
90,속초,2015-08,24.2,33,16.1,198.6,1.8,10.7,193.5,
90,속초,2015-09,19.1,27.1,12.5,13.5,1.8,7.8,219,
90,속초,2015-10,14.7,26.2,1,27.4,2,8.8,240.6,
90,속초,2015-11,8.4,21.7,-3.2,463.5,2,8.1,98.6,
90,속초,2015-12,3,10.9,-7.2,1.7,1.8,8.2,164.9,
90,속초,2016-01,-1.2,11.5,-16.4,6.6,2.4,8.7,191.1,
90,속초,2016-02,.8,10.3,-9.4,38.3,2.1,8.8,197.6,
90,속초,2016-03,7,21.5,-7.6,31.8,1.9,8.8,209.6,
90,속초,2016-04,12.6,29.3,3.6,77.5,2.3,10.4,222.9,
90,속초,2016-05,17.2,29,7.3,35.7,2.2,10.7,261.1,
90,속초,2016-06,20.6,30.5,12.6,62.2,1.8,8.8,175.3,
90,속초,2016-07,22.9,31.9,17,477.8,1.3,7.7,119.2,
90,속초,2016-08,25.5,35.9,15.3,186.9,1.6,9.9,220.7,
90,속초,2016-09,20.4,28.6,13.2,126,1.5,7.7,130,
90,속초,2016-10,15.3,24.2,3.3,128.5,1.7,8.1,140.8,
90,속초,2016-11,8.4,20.8,-2.5,40.8,1.8,8.3,172.2,
90,속초,2016-12,4.4,14.1,-6.1,121.7,1.9,9.9,164.8,
90,속초,2017-01,.8,11.3,-11.2,82.4,1.9,8.6,215.4,
90,속초,2017-02,3,14.7,-8.2,3.2,2,11.4,222.2,
90,속초,2017-03,7,18.5,-2.8,48.7,1.9,8.1,199.8,
90,속초,2017-04,14.8,30.8,2.6,46.8,2.3,8.1,255.2,
90,속초,2017-05,18.7,34.3,9.3,25.2,2,9.5,272.3,
90,속초,2017-06,19.8,29.7,9.9,69.7,1.7,7.1,204.7,
90,속초,2017-07,25.6,34.9,18.9,270.3,1.2,5.6,165.4,
90,속초,2017-08,23.7,32.4,16.4,424.9,1.1,7.7,107.2,
90,속초,2017-09,20.8,28.4,13.1,50.5,1.6,7.6,249.2,
90,속초,2017-10,14.5,25,4,135.4,1.7,9.8,157.7,
90,속초,2017-11,7.8,20.4,-4,41.2,2.2,8.2,218.5,
90,속초,2017-12,.7,11.4,-9.9,9.9,2.2,9.1,230.3,
90,속초,2018-01,-1.4,11.9,-16.2,3.9,2,8.5,214.7,
90,속초,2018-02,-.5,10.5,-13.2,54.4,2.1,8.6,218.5,
90,속초,2018-03,8,24.7,-6.2,55,2.2,13.4,171.2,
90,속초,2018-04,13,32.5,2,141.7,2.3,8.2,227.6,
90,속초,2018-05,15.9,29.4,4.5,123.6,2,10.3,186.4,
90,속초,2018-06,21.3,33.9,13.2,46.5,1.7,12.5,208.8,
90,속초,2018-07,25,35.4,14.8,185.4,1.6,5.7,209.3,
90,속초,2018-08,25.6,38.7,17.2,625,1.6,9.1,185.3,
90,속초,2018-09,20,29,12.6,66.1,1.5,5.9,196.1,
90,속초,2018-10,13.5,23.8,.3,257.6,1.8,8.4,229.5,
90,속초,2018-11,9.2,19.2,-1.9,207.4,1.6,6.3,165.7,
90,속초,2018-12,1.6,12.7,-11.4,10.4,1.8,7.1,208,
90,속초,2019-01,1.7,12.8,-9,8.7,1.9,9.9,232.1,
90,속초,2019-02,2.5,15.7,-7.3,27.6,1.8,7,215.2,
90,속초,2019-03,8.2,21.6,-1.4,44.4,2.1,10.5,233.1,
90,속초,2019-04,11.9,25.9,1.3,80.9,2.1,11,230.5,
90,속초,2019-05,19.8,34.2,6.5,5.7,2.2,9.5,296.2,
90,속초,2019-06,20,30.2,11.5,97.8,1.8,6.3,224.8,
90,속초,2019-07,24.7,36.1,17.7,234.4,1.7,6.7,196,
90,속초,2019-08,25.7,35.6,19.3,293.5,1.7,7.2,230.7,
90,속초,2019-09,20.9,32.3,11.6,209.9,1.5,9.9,145.2,
90,속초,2019-10,16.1,25,6.5,185.5,1.9,10.2,157.7,
90,속초,2019-11,9.4,21.1,-1.2,157.3,1.8,7.5,186.9,
90,속초,2019-12,4.2,14.4,-7.1,9.8,1.9,9.9,194.7,
90,속초,2020-01,3.4,11.2,-4.1,148.1,2.1,9.7,163.3,
90,속초,2020-02,4.1,16.1,-8.2,55.8,2,8.4,194.1,
90,속초,2020-03,7.9,19.3,-1.8,38,2.4,8.7,263.7,
90,속초,2020-04,11.3,24.5,.9,38.4,2.5,10.1,256,
90,속초,2020-05,17.1,32.4,7.8,245.1,2.2,9.6,218.5,
90,속초,2020-06,22.2,33.2,13.9,271.9,2.2,9.3,238.7,
90,속초,2020-07,21.6,33.3,15.6,374.7,1.9,8.6,168.5,
90,속초,2020-08,25.7,35.1,19.6,411.3,1.4,9.1,128.4,
90,속초,2020-09,20.1,28.7,12.1,482.8,2.2,10.2,152.5,
90,속초,2020-10,14.3,23.7,4.6,0,1.7,6.4,231.3,
90,속초,2020-11,10,23.1,-2.1,19.2,2,8.2,204.5,
90,속초,2020-12,1.8,11.2,-11.3,.5,2.1,7.8,228.4,
90,속초,2021-01,-1.2,9.7,-16.1,0,2.3,9,200.4,
90,속초,2021-02,3.1,17.8,-10.1,5,2.3,8.1,214.2,
90,속초,2021-03,8,18.9,-4.5,104.2,2,9.3,209,
90,속초,2021-04,12.3,23.8,2,97.2,2.3,9.5,228.4,
90,속초,2021-05,16.7,29.8,7.6,154.9,2.1,10,239.6,
90,속초,2021-06,20.3,30,12.9,43.8,1.7,8,185.7,
90,속초,2021-07,25.5,33.2,18.1,104.1,1.5,5.9,270,
90,속초,2021-08,24.4,33.8,17.1,247.1,1.6,7.3,133,
90,속초,2021-09,20.9,28.8,14.6,141.6,1.7,8.7,195.8,
90,속초,2021-10,15.5,27.5,2.2,216.9,1.8,8.2,174,
90,속초,2021-11,9.9,20.1,-1.8,16.2,2.2,9.3,208.2,
90,속초,2021-12,2.8,13.9,-14.9,68.7,2.2,9.2,219.8,
90,속초,2022-01,-.6,7.8,-9.8,3.6,1.9,7.1,227.2,
90,속초,2022-02,.3,12.7,-10.9,11.1,2.3,7.8,243.8,
90,속초,2022-03,7.1,21,-2,114.5,2.1,11.9,189.4,
90,속초,2022-04,14.2,29.8,1.8,33.5,2.3,8.6,269,
90,속초,2022-05,18.5,33.5,5.8,9.1,2.2,8.4,312.7,
90,속초,2022-06,20.9,34.6,10.1,248.7,1.9,7.9,169.6,
90,속초,2022-07,24.3,33.4,18.8,213.1,1.5,7.5,135.5,
90,속초,2022-08,24.6,35.5,15.8,323.7,1.3,6.2,151.1,
90,속초,2022-09,20.3,29.2,10.9,263.8,1.8,8.6,203.7,
90,속초,2022-10,13.9,29.9,4.8,377.1,1.8,8.6,153.8,
90,속초,2022-11,11,22.3,-4.6,38.4,1.9,10.3,198.8,
90,속초,2022-12,-.2,11.6,-12.5,.7,2.4,8.8,233.5,
90,속초,2023-01,.2,15.1,-16,94.7,2,8.7,215.7,
90,속초,2023-02,2.7,15.6,-6.4,43.4,1.9,9.1,186.6,
90,속초,2023-03,9.3,25.4,-1.7,10.1,2.1,8.2,224,
90,속초,2023-04,12.6,26.9,4,57,2.2,11.3,212.2,
90,속초,2023-05,17,34.4,5.5,81,1.9,8.2,232.6,
90,속초,2023-06,21.9,34.3,13.3,200.1,1.8,9,244.9,
90,속초,2023-07,25.8,35.1,19.6,108.2,1.5,7.7,184.5,
90,속초,2023-08,24.7,36.6,19.1,669.6,1.4,11.2,121.9,
90,속초,2023-09,21.7,30.6,13.6,208.2,1.4,8.1,156.6,
90,속초,2023-10,16.4,25.5,6.3,31.4,1.8,6.8,218.1,
90,속초,2023-11,8.8,27.5,-6,60.1,2.4,12.2,208.7,
90,속초,2023-12,2.3,19,-13.2,205,2.3,11.7,174,
90,속초,2024-01,.6,11.1,-12.3,11.6,2,11.5,203.4,
90,속초,2024-02,1.9,18.1,-5.6,125.7,1.7,7.5,109.7,
90,속초,2024-03,5.7,20.6,-7.4,58.6,2.2,11.2,212.9,
90,속초,2024-04,13.9,27.1,2.1,63.4,2.2,7.9,195.2,
90,속초,2024-05,17.8,33.2,6.5,63.4,2.6,10.2,253.2,
90,속초,2024-06,22.3,34.2,11.2,133.8,2.1,7,279.7,
90,속초,2024-07,26.8,36.5,19.2,109.3,2.4,11.6,150.5,
90,속초,2024-08,27.6,36.6,20.7,46.4,2.1,7.6,229,
90,속초,2024-09,22.1,31.3,13.4,457.9,2.2,9.4,114.2,
90,속초,2024-10,16.1,25,8.1,143.2,2.1,12.6,131.8,
90,속초,2024-11,10.8,21.8,-.9,17.6,2.5,9.5,169,
90,속초,2024-12,3.1,15.5,-5.2,3.2,2.8,9.6,222.3,
93,북춘천,2016-10,14.1,29,-1.9,112.1,.9,6,185.3,
93,북춘천,2016-11,5.1,19.5,-9.1,13.2,.9,5.5,147.4,.5
93,북춘천,2016-12,-.2,10.2,-12.1,83.1,.8,6.4,142.3,1
93,북춘천,2017-01,-3.4,11.6,-17,15.9,1.1,7.7,204.2,10.7
93,북춘천,2017-02,-1.5,12.2,-15.7,11,1.2,6.5,214.9,8.3
93,북춘천,2017-03,4.6,19,-8.3,17.9,1.3,7,212.4,
93,북춘천,2017-04,13.2,29.1,-.8,54.1,1.9,8.7,257.3,
93,북춘천,2017-05,18.6,30.7,6.7,25.5,1.8,9.4,280.1,
93,북춘천,2017-06,22.3,35,9.2,38.1,1.5,7,271.2,
93,북춘천,2017-07,26.3,34.9,19.4,477.8,1,7.4,126.4,
93,북춘천,2017-08,24.4,37.5,13.9,376.3,1.1,6.4,150.3,
93,북춘천,2017-09,19.1,30.5,4.9,33.8,1.1,6.2,220.3,
93,북춘천,2017-10,13.5,26.9,-3.7,42.6,1.1,5.9,196.9,
93,북춘천,2017-11,3.2,18.8,-10.2,15.9,1.2,8,185.3,2.9
93,북춘천,2017-12,-4.3,8.6,-19,24.5,1.2,7.2,183.8,6.3
93,북춘천,2018-01,-6,8.6,-21.7,6.5,1.3,8.4,203,5
93,북춘천,2018-02,-3.4,10.4,-19.2,33,1.5,7.5,214.2,7.6
93,북춘천,2018-03,7,23.4,-8.2,32,1.8,8.8,204.3,
93,북춘천,2018-04,12,29.2,-3,117.2,1.9,8.7,218.7,1.5
93,북춘천,2018-05,17.2,31,2.9,200.5,1.7,8.3,233.2,
93,북춘천,2018-06,22.6,34.5,11.9,88.6,1.5,8.6,252.8,
93,북춘천,2018-07,26.3,37.6,13.7,189.7,1.3,6.7,243.9,
93,북춘천,2018-08,26.9,40.6,15.8,354.6,1.3,10.3,223,
93,북춘천,2018-09,19.1,29.5,6.5,63,1.1,5.9,205.5,
93,북춘천,2018-10,10.3,25,-2.5,102.6,1.1,8.6,200.3,
93,북춘천,2018-11,5.1,19.3,-7.3,56.9,.7,6.7,148.2,8.5
93,북춘천,2018-12,-3.2,12,-16.9,17.3,1,6.4,194.9,2.6
93,북춘천,2019-01,-3.9,8.3,-15.1,.2,1,7.7,228.9,0
93,북춘천,2019-02,-.6,13.4,-13.6,27.5,.9,5.9,201.8,4
93,북춘천,2019-03,5,18.3,-7.3,30.9,1.4,8.4,199.4,
93,북춘천,2019-04,10.6,28.3,-5.1,49.7,1.5,7.6,205.8,
93,북춘천,2019-05,18.3,33.3,2.6,31.4,1.6,8,298.6,
93,북춘천,2019-06,21.4,33.1,9.9,88.7,1.2,7.4,235,
93,북춘천,2019-07,25,36.2,14.8,252.2,1.2,5.7,140.5,
93,북춘천,2019-08,25.6,36.5,16.1,186.6,1.1,7,220.9,
93,북춘천,2019-09,20.7,31.6,10.7,147.9,1.1,12.5,138.1,
93,북춘천,2019-10,14,29.9,.2,48.4,1,6.2,189.2,
93,북춘천,2019-11,4.9,20.3,-7.5,57.8,.9,7.9,167.3,.3
93,북춘천,2019-12,-.7,10.5,-13.4,10.5,.9,7.7,143.2,.9
93,북춘천,2020-01,-.7,10.9,-10.6,55.9,1,5.9,187.4,.4
93,북춘천,2020-02,.7,15.5,-14.8,35.3,1.2,8.6,183.5,1.8
93,북춘천,2020-03,6.1,21,-6.6,13.7,1.5,9.6,238.5,
93,북춘천,2020-04,9.7,24.6,-4.5,17,1.9,9.5,257.6,
93,북춘천,2020-05,17.4,29.8,5.4,122.2,1.5,8.7,193.7,
93,북춘천,2020-06,23.5,35.8,13.6,79.1,1.5,7.9,225.2,
93,북춘천,2020-07,23.3,32.7,16.1,183.6,1.3,10.5,140.4,
93,북춘천,2020-08,25.6,35.4,20.3,821.2,1,7.3,92.3,
93,북춘천,2020-09,19,30,8.2,153.1,1.3,11.2,162.6,
93,북춘천,2020-10,10.9,23.7,-2.7,.3,.9,8.1,221.5,
93,북춘천,2020-11,5.3,19.4,-8.3,75.2,1.2,7.3,181.1,
93,북춘천,2020-12,-3.6,9.9,-18.5,4.8,.9,6.1,197.9,6.2
93,북춘천,2021-01,-5.7,11.5,-22.5,14.3,1,10.2,181.6,4.9
93,북춘천,2021-02,.4,19.7,-14.2,5.6,1.5,7.9,210.7,8.9
93,북춘천,2021-03,7.1,22.8,-4.7,100.1,1.3,8.8,217.1,9.8
93,북춘천,2021-04,12.4,29.2,-.1,110.2,1.5,7.8,225.5,
93,북춘천,2021-05,15.6,30.6,3.1,159.3,1.4,9.1,190.3,
93,북춘천,2021-06,21.6,32.3,12.4,128.1,1.2,7.3,186.6,
93,북춘천,2021-07,26.7,36.6,18.5,202,1,7.7,251.7,
93,북춘천,2021-08,24.3,34.4,15.7,122.5,1.1,7.2,154,
93,북춘천,2021-09,20.7,29.7,13.2,103.7,1.1,6.2,188.6,
93,북춘천,2021-10,13.1,28.2,-2,64.4,.9,5.2,160.2,
93,북춘천,2021-11,5.3,21,-6.6,49.8,1.2,7.9,163.1,
93,북춘천,2021-12,-2.2,11.4,-17.2,5.2,1.1,8.4,173.8,6.4
93,북춘천,2022-01,-5.1,7.8,-16.6,1.9,.8,6.4,219.2,3.2
93,북춘천,2022-02,-3.5,10.7,-15.8,6.3,1.5,8.1,224.1,1.4
93,북춘천,2022-03,5.7,18.5,-7.6,88.3,1.4,9.1,195.6,.4
93,북춘천,2022-04,13,29.8,-1.9,27.7,1.7,7.1,264.2,
93,북춘천,2022-05,17.2,30.7,2.4,8.1,1.7,8.6,281.3,
93,북춘천,2022-06,21.9,34.2,9.2,386.5,1.3,6.8,142.7,
93,북춘천,2022-07,26,35.8,19.6,223.8,1,6.5,174.6,
93,북춘천,2022-08,24.5,33,12.1,418.4,1,6.1,121.9,
93,북춘천,2022-09,19.8,30.8,6.8,239,1.1,6.7,207,
93,북춘천,2022-10,11.8,25.7,-.6,116.1,1,6.6,186.3,
93,북춘천,2022-11,6.5,20.6,-8.1,64,.9,7,175.7,
93,북춘천,2022-12,-6.1,8.1,-18.5,10.7,1,6.8,190.6,6.1
93,북춘천,2023-01,-5.2,9.2,-21.7,43.8,.8,6.2,183.1,7.3
93,북춘천,2023-02,-.5,12.8,-11.7,1.1,1,6.2,216.2,3.7
93,북춘천,2023-03,7.4,25,-6.9,8.4,1.3,7.2,272.6,
93,북춘천,2023-04,12.1,27.8,-2.2,95.7,1.6,10.1,208.2,
93,북춘천,2023-05,17.7,31.4,2.3,112.4,1.4,8,281.4,
93,북춘천,2023-06,22.4,33.7,12.3,280.7,1.3,7,235,
93,북춘천,2023-07,26,34.8,17.9,318.1,1.1,6.6,192.9,
93,북춘천,2023-08,26.1,35.2,18.9,203.6,1.1,6.2,202.8,
93,북춘천,2023-09,21.8,32.4,11.5,119.5,.9,5.6,183.5,
93,북춘천,2023-10,12.3,23.5,-.2,25.9,.8,7,195.9,
93,북춘천,2023-11,4.6,25.9,-9.7,80.3,1.3,8.2,181.9,
93,북춘천,2023-12,-1.6,16.9,-16.9,77.3,1.1,7,164.6,7.5
93,북춘천,2024-01,-2.8,10,-16.6,8.9,1.1,7,189.9,3.4
93,북춘천,2024-02,1.8,17.3,-8.2,45,1.1,6.4,142.7,4
93,북춘천,2024-03,4.9,22.5,-11.3,40.9,1.5,7.9,219.4,3.2
93,북춘천,2024-04,14.7,30.6,0,27.6,1.4,6.9,235.5,
93,북춘천,2024-05,17.2,29.3,4.9,126.9,1.4,6.5,260.6,
93,북춘천,2024-06,23.3,36.1,9.9,124.5,1.3,6.3,299.6,
93,북춘천,2024-07,25.9,34.1,20.5,411.1,1.4,6.5,149.1,
93,북춘천,2024-08,28,36.2,18.5,92.7,1.1,6.3,257.3,
93,북춘천,2024-09,23.2,35.4,10.4,184.9,1,6.7,191.8,
93,북춘천,2024-10,14,24.7,3.9,68.5,.9,5.8,165.7,
93,북춘천,2024-11,7.1,23,-6.5,27.7,1,7.4,201.3,.9
93,북춘천,2024-12,-2.4,11.9,-14,3.6,1,7.8,209.7,4
95,철원,2015-01,-4,8.1,-16.3,17,1.1,5.7,185.2,7.5
95,철원,2015-02,-1.3,11.9,-18.1,24,1.4,6.3,172.8,
95,철원,2015-03,4,21.2,-9.8,7.8,1.8,8.1,266.5,
95,철원,2015-04,11.3,28.9,-2.8,98.3,2.2,8.1,227.8,
95,철원,2015-05,17.6,31.3,3,35.8,1.9,7.9,298,
95,철원,2015-06,21.6,33,10.6,79.6,1.8,7.5,274.5,
95,철원,2015-07,23.8,35.6,13.3,458,2,8.6,197.7,
95,철원,2015-08,24.1,33.3,13.9,140.6,1.6,8.9,246.5,
95,철원,2015-09,18.9,28.8,8.1,32.7,1.6,7.1,256.6,
95,철원,2015-10,12.3,25.7,-4.9,64,1.3,6.8,230.4,
95,철원,2015-11,6.6,18.1,-8,111.5,1.9,7.4,101.1,
95,철원,2015-12,-1.2,10,-15.2,25.6,1,6.6,168,
95,철원,2016-01,-6,8.2,-20.6,.9,1.3,6.4,187.6,
95,철원,2016-02,-2.2,14.6,-17,54.1,1.5,7.5,186.1,
95,철원,2016-03,4.7,21.4,-13.4,45.2,1.6,7.6,236.3,
95,철원,2016-04,12.6,25.6,-1.1,88.8,2.2,9,218.2,
95,철원,2016-05,17.7,30.8,5.1,149.9,1.9,8.3,248.1,
95,철원,2016-06,22.1,30.9,12,27.1,1.6,6.3,230.1,
95,철원,2016-07,24.1,33.5,16.4,460.5,1.6,6.4,153.9,
95,철원,2016-08,25.3,34.3,10.6,63.7,1.5,7.1,230.5,
95,철원,2016-09,20.2,29.7,6.1,32.2,1.5,7,202.5,
95,철원,2016-10,13.4,27.3,-4,173.1,1.3,6.7,185.7,
95,철원,2016-11,4.3,18.6,-10.6,15.6,1.2,6.2,142.8,
95,철원,2016-12,-1.4,11.8,-18.7,69.8,1,7.4,135.1,
95,철원,2017-01,-4.4,9.9,-18.2,14.5,1.2,6.8,196.9,
95,철원,2017-02,-2.6,10.6,-16.6,9.8,1.3,6.3,201.3,
95,철원,2017-03,3.5,17.4,-9.4,21.5,1.3,6.8,216,
95,철원,2017-04,12.1,26.6,-2.4,63.6,2,7.8,248.1,
95,철원,2017-05,17.7,28.9,5.9,36,1.8,8.3,277.6,
95,철원,2017-06,21.3,32,8.7,74.2,1.7,7.5,272.3,
95,철원,2017-07,25.5,33.6,18.1,575.2,1.6,6.4,119.9,
95,철원,2017-08,23.6,33.8,11.7,354.9,1.7,5.9,145.9,
95,철원,2017-09,18.8,28.9,3.9,26.6,1.4,8.7,171.6,
95,철원,2017-10,12.8,26.8,-4.8,10.8,1.2,6.9,195.4,
95,철원,2017-11,2.7,18.2,-11.5,33.5,1.3,7.2,163.4,
95,철원,2017-12,-4.9,8.5,-18.8,12.8,1.2,6.1,171.3,
95,철원,2018-01,-7.3,7.7,-25.2,7.9,1.1,5.6,185.7,
95,철원,2018-02,-4.4,9.8,-21.1,14.4,1.5,6.8,206.4,
95,철원,2018-03,6.2,21.9,-10.8,33.6,2.1,7.9,202.7,
95,철원,2018-04,11.2,27.1,-3.5,139.4,2.5,9.7,203.6,
95,철원,2018-05,16.8,29.5,5.7,263.1,2.2,8.1,231.4,
95,철원,2018-06,21.7,32.3,12,122.3,1.8,7.1,232.2,
95,철원,2018-07,25.4,36,14.7,174.2,2,8.1,234.6,
95,철원,2018-08,26.3,38.4,15.4,527,1.9,8.8,235.2,
95,철원,2018-09,18.8,29.4,5.9,55.4,1.5,6.1,206.9,
95,철원,2018-10,9.9,24.6,-3.3,74.8,1.3,8.8,217.6,
95,철원,2018-11,4.5,18.6,-8.4,60.2,1,7.2,159,
95,철원,2018-12,-4,11.4,-18.6,8.3,1,7.7,190.8,
95,철원,2019-01,-4.9,7.6,-17.1,0,1.1,6,208.3,
95,철원,2019-02,-1.7,13.2,-15.2,20.6,1,6,205.6,
95,철원,2019-03,4.5,17.1,-7.9,23.3,1.4,6.3,230.7,
95,철원,2019-04,9.9,27.6,-5.8,28,1.5,6.4,236.2,
95,철원,2019-05,17.8,32.5,2.8,26.4,1.5,6.4,340,
95,철원,2019-06,20.9,32.1,10.3,57.1,1.4,7.1,284.6,
95,철원,2019-07,24.2,34.5,14.3,305.3,1.6,6.4,211.8,
95,철원,2019-08,24.8,35.1,15.6,156.9,1.1,6.3,267.7,
95,철원,2019-09,20,30.3,8.7,199.1,1.3,9.4,201.4,
95,철원,2019-10,13.7,27.8,-.9,30.8,1.2,6.1,227.7,
95,철원,2019-11,4.5,20.8,-8.3,53,.9,6.7,191.4,
95,철원,2019-12,-1.1,11.3,-15.6,20,.9,5.4,149.1,
95,철원,2020-01,-1.2,11,-11.7,79.7,1.1,6,179.8,
95,철원,2020-02,0,15.8,-17.7,46.8,1.1,6.6,180.2,
95,철원,2020-03,5.5,19.9,-7.9,16.9,1.4,7.5,258.7,
95,철원,2020-04,9.1,22.8,-5.2,20.9,1.7,7.7,288.8,
95,철원,2020-05,16.9,28.8,5.6,161.7,1.4,6.6,241.9,
95,철원,2020-06,22.5,33.6,12.7,92.2,1.4,7.5,267.3,
95,철원,2020-07,22.8,31.7,15.3,184.5,1.6,7.6,210.6,
95,철원,2020-08,25.1,34.9,18.7,903,1.3,8.3,136.8,
95,철원,2020-09,18.8,30.1,7.8,166,1.6,6.5,213.3,
95,철원,2020-10,10.9,23.1,-2.7,4.1,.9,5.1,244,
95,철원,2020-11,5,19.8,-8.9,72.3,1.1,6.4,182.4,
95,철원,2020-12,-3.9,9.9,-18.8,1.2,.9,5.1,193.4,
95,철원,2021-01,-5.9,13.1,-22.4,7.6,1.2,6.8,189.5,
95,철원,2021-02,.1,17.3,-14.6,4.8,1.5,5.7,203,
95,철원,2021-03,6.2,21.7,-7.8,103.7,1.5,7.4,240.7,
95,철원,2021-04,12,28,-.3,99.3,1.7,6.4,262,
95,철원,2021-05,15.5,29.7,3.6,199.1,1.5,7.3,247.5,
95,철원,2021-06,21.2,31.1,12.4,67.6,1.3,6,247.4,
95,철원,2021-07,26.1,35.7,17.7,117.2,1.1,7.2,289.1,
95,철원,2021-08,23.6,32.1,15.4,219.6,1.4,6.6,211.3,
95,철원,2021-09,20.3,29.6,12.5,105.9,1.4,5.7,231.6,
95,철원,2021-10,12.7,27.6,-2.6,128.3,1,6,196.1,
95,철원,2021-11,5.3,20.1,-7.1,57.3,1.1,6.2,174.1,
95,철원,2021-12,-2.1,11.1,-18,4.9,1.1,5.9,177.3,
95,철원,2022-01,-5.8,7.2,-20.1,2.5,.8,5,211,
95,철원,2022-02,-3.9,9.7,-17,8.9,1.4,6.3,219.4,
95,철원,2022-03,5.2,17.9,-8.5,90.9,1.6,6.9,219.7,
95,철원,2022-04,12.6,28.8,-2.6,17.9,1.7,6.4,281.5,
95,철원,2022-05,16.7,29.5,2,14.5,1.6,6.3,327.7,
95,철원,2022-06,21.2,31.7,10.3,437.2,1.8,7.1,195.6,
95,철원,2022-07,25.2,34.5,18.8,247.6,1.1,5.6,227.5,
95,철원,2022-08,24,32.2,11,420.4,1.2,5.7,176.3,
95,철원,2022-09,19.4,31.6,6.9,257.4,1.4,6.9,236.3,
95,철원,2022-10,11.4,26.3,-1.3,162.1,1,5,211.6,
95,철원,2022-11,6.6,20.6,-9.7,85.2,.9,5.7,179.3,
95,철원,2022-12,-6.8,7.7,-20.4,8.1,.9,7.4,197.1,
95,철원,2023-01,-5.8,9.7,-21.9,42.2,.9,5,177.1,
95,철원,2023-02,-.9,10.9,-11.9,0,1,5,203.1,
95,철원,2023-03,6.7,23.7,-6.4,12.5,1.2,5.7,257.9,
95,철원,2023-04,11.7,27,-1.6,97.5,1.6,6.2,213.9,
95,철원,2023-05,17.4,30.1,3,161.9,1.5,5.8,280.8,
95,철원,2023-06,21.7,33.3,12,220.4,1.3,5.4,234.1,
95,철원,2023-07,25.4,33.6,17.7,383.4,1.3,6.7,202.3,
95,철원,2023-08,25.1,33.8,17.9,241.6,1.5,6.4,198.5,
95,철원,2023-09,21.3,31.8,10.7,102.9,1.2,5.5,192.8,
95,철원,2023-10,12.4,22.8,-.4,30.5,.9,4.9,229.3,
95,철원,2023-11,4.3,24.6,-11.6,104.9,1.3,6.3,161,
95,철원,2023-12,-1.9,15.6,-18.3,69.4,1.4,7.1,148.4,
95,철원,2024-01,-3.3,9.1,-16.4,7.2,1.2,6.1,171.7,
95,철원,2024-02,1.2,17.4,-9.3,48.2,1.5,5.6,146,
95,철원,2024-03,4.4,21.7,-11.9,42.4,1.6,6.5,221.1,
95,철원,2024-04,14.2,29.9,-.8,17.9,1.7,6.5,240.7,
95,철원,2024-05,16.6,27.9,5.3,156.5,1.5,5.9,269.3,
95,철원,2024-06,22.7,35.8,10.4,98.1,1.3,5.1,298.9,
95,철원,2024-07,25.3,33.4,19,759.5,1.7,6.3,141.2,
95,철원,2024-08,27.2,35.7,17.8,232.9,1.2,5,243.8,
95,철원,2024-09,22.6,33.9,10.2,179.2,1.5,6.7,192.8,
95,철원,2024-10,13.5,24.3,3.4,66.7,.9,5.1,167.1,
95,철원,2024-11,6.5,22.2,-7.7,29.8,.9,6.3,181.9,
95,철원,2024-12,-3.1,12.3,-16.9,7.3,1,5.1,202.2,
98,동두천,2015-01,-2.3,9.7,-13,17.3,1.7,7.8,186.5,
98,동두천,2015-02,.1,14.3,-14.3,23.4,1.8,10.6,171.1,1
98,동두천,2015-03,5.5,23.2,-7.7,8.4,2.3,10.4,262.3,.2
98,동두천,2015-04,12.7,30,0,82.5,1.9,9.1,212.3,
98,동두천,2015-05,18.3,33.1,5.4,32.8,1.9,9.3,284.1,
98,동두천,2015-06,22.7,34.5,11.8,70.1,1.6,8.9,253.3,
98,동두천,2015-07,24.6,35.7,15.8,348.7,1.5,6.7,169.6,
98,동두천,2015-08,24.8,34.4,15.7,120.6,1.4,8.5,210.2,
98,동두천,2015-09,20.4,29.9,10.7,60.5,1.2,6,255.2,
98,동두천,2015-10,13.9,27.2,-2,83.1,1.4,7.5,223.5,
98,동두천,2015-11,8,21.1,-8.1,114.6,1.3,5.3,92.7,
98,동두천,2015-12,.5,13.9,-12.8,26.5,1.5,7.9,162.3,
98,동두천,2016-01,-4.1,10.1,-19.3,1.3,1.6,9.7,195.4,
98,동두천,2016-02,-.4,16.5,-13.2,47.8,1.9,8.9,184.3,
98,동두천,2016-03,6.5,24,-10.2,53.3,2,8.4,243.8,
98,동두천,2016-04,13.8,30.9,2.8,86.5,2.1,11,217.4,
98,동두천,2016-05,18.5,32.2,7.7,151.8,2,12.5,266.8,
