"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-05 ~ 2025-12-04"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"43","경상남도 하동군 횡천면 남산리","3**","대","계획관리지역","8m미만","202512","02","634.00","3,000","","-","직거래","-"
"44","경상남도 거창군 가북면 몽석리","1***","도로","계획관리지역","-","202512","02","16.00","10","","-","직거래","-"
"45","경상남도 거창군 가북면 몽석리","1***","전","계획관리지역","8m미만","202512","02","232.00","480","","-","직거래","-"
"46","경상남도 합천군 합천읍 영창리","5*","도로","제1종일반주거지역","-","202512","02","63.40","1,618","","-","직거래","-"
"47","경상남도 고성군 대가면 척정리","4**","답","농림지역","12m미만","202512","02","2319.00","6,451","","-","중개거래","경남 고성군"
"48","경상남도 고성군 대가면 척정리","7**","답","농림지역","8m미만","202512","02","1152.00","2,730","","-","직거래","-"
"49","경상남도 고성군 대가면 척정리","4**","답","농림지역","8m미만","202512","02","2897.00","8,059","","-","중개거래","경남 고성군"
"50","경상남도 고성군 대가면 척정리","7**","답","농림지역","8m미만","202512","02","1509.00","3,600","","-","직거래","-"
"51","경상남도 고성군 대가면 척정리","6**","답","농림지역","12m미만","202512","02","2943.90","8,190","","-","중개거래","경남 고성군"
"52","경상남도 진주시 문산읍 삼곡리","3**","과수원","자연녹지지역","8m미만","202512","02","94.00","763","지분","-","직거래","-"
"53","경상남도 진주시 문산읍 삼곡리","3**","전","자연녹지지역","-","202512","02","768.50","6,237","지분","-","직거래","-"
