DATE,고랭지무,고랭지배추,마늘,사과,양파
2013,,988.5,5117.5,4439.4,
2014,,685.0,4179.9,4182.0,
2015,494.9,556.7,5951.4,3538.0,
2016,1080.5,1438.3,7676.9,3492.5,
2017,851.3,1420.0,6721.1,3543.2,
2018,1110.4,1375.3,6440.0,3888.8,819.4
2019,703.2,1247.7,,3533.3,
2020,1033.1,1965.0,,6113.4,
2021,596.6,972.9,,4346.9,
2022,1334.3,1986.2,,4619.8,1166.4
2023,922.2,,,6731.9,1413.8
2024,1324.5,,,7060.2,1344.8
