Category,무,깐마늘,양파,사과,배추
2014,557,4180,589,5402,685
2015,495,5951,1060,4125,557
2016,1080,7677,1101,3759,1438
2017,851,6721,1234,3858,1420
2018,1110,6272,819,3908,1375
2019,703,4805,603,3873,1248
2020,1033,5331,1071,5219,1965
2021,597,7639,1143,5657,973
2022,1334,8407,1166,4654,1986
2023,922,7137,1414,5939,1545
2024,1325,6878,1345,8788,2217
2025,687,7963,1278,8590,1721
