구분,2010년,,2011년,,2012년,,2013년,,2014년,
,평균,필지,평균,필지,평균,필지,평균,필지,평균,필지
,최소,최대,최소,최대,최소,최대,최소,최대,최소,최대
전라북도 전주시 덕진구,"71,808",486,"82,439",572,"89,286",636,"91,839",561,"106,333",144
,"7,170","286,750",700,"354,610",240,"377,910",140,"359,050","8,890","417,910"
전라북도 군산시,"38,199","1,151","40,977","1,277","47,906","1,181","39,718","1,221","28,793",379
,"3,670","142,290","2,420","142,860","2,080","186,620","3,410","145,380","6,900","86,390"
전라북도 익산시,"16,646","2,733","16,755","2,731","20,078","2,733","18,507","3,009","14,456","1,010"
,100,"52,750",690,"49,170",280,"64,180","1,760","53,250",620,"36,290"
전라북도 정읍시,"8,781","2,767","9,345","2,598","9,864","2,522","11,039","2,548","11,071",871
,240,"21,370",260,"22,500",640,"22,920",470,"29,500","1,230","29,000"
전라북도 남원시,"8,929","2,224","9,583","2,062","10,412","2,004","11,946","2,095","11,691",667
,450,"23,780",480,"23,760",370,"29,070",470,"34,640","2,110","33,650"
전라북도 김제시,"14,164","2,802","15,906","2,726","15,336","2,643","16,043","2,600","15,748",781
,"1,950","34,360",850,"40,700","2,120","35,820","1,760","37,710","2,530","33,330"
전라북도 완주군,"29,829","2,067","33,717","2,339","40,165","2,798","39,315","2,407","39,895",500
,130,"102,830","2,470","111,650","1,130","135,740",40,"142,990","5,240","125,630"
전라북도 진안군,"8,847","1,128","9,843","1,271","10,962","1,151","11,242","1,236","11,805",380
,770,"24,830",290,"27,470",840,"30,810",80,"30,830","1,080","29,780"
전라북도 무주군,"14,662",904,"15,467",860,"13,983",831,"15,123",837,"15,408",229
,350,"49,910",930,"52,830",770,"48,170",580,"56,660","1,670","47,760"
전라북도 장수군,"7,955","1,104","8,712","1,097","10,008","1,070","10,323","1,094","10,787",314
,240,"22,370",440,"25,880",260,"30,960",350,"33,790",380,"32,000"
전라북도 임실군,"10,087","1,178","9,281","1,089","9,986","1,036","11,225",975,"11,589",352
,220,"27,610",570,"24,950",220,"28,550",850,"33,510","1,300","29,290"
전라북도 순창군,"6,719","1,211","7,216","1,246","7,913","1,152","8,519","1,139","8,678",346
,470,"18,080",240,"18,690",400,"22,690",520,"24,480",820,"22,610"
전라북도 고창군,"7,266","2,363","8,049","2,266","8,545","2,114","9,165","2,168","9,403",676
,240,"16,510","1,290","19,320",850,"20,830",790,"23,060","2,980","21,950"
전라북도 부안군,"25,005","1,969","24,365","1,884","21,095","1,726","22,961","1,798","17,174",599
,770,"115,030","1,970","100,900","1,160","82,680","1,120","100,000","1,330","50,170"
전라남도 목포시,"49,549",78,"69,269",73,"89,443",69,"80,434",88,"69,577",19
,"5,210","150,410","4,850","227,270","7,420","304,330","12,060","330,000","6,650","265,660"
전라남도 여수시,"35,474","1,296","43,691","1,478","48,055","1,270","47,582","1,327","49,654",289
,280,"146,740",270,"169,490",390,"190,590",450,"209,300",540,"188,900"
전라남도 순천시,"17,829","2,243","22,297","2,362","22,395","1,920","24,336","1,981","18,448",510
,360,"75,480",260,"97,290",760,"96,850",170,"105,770","1,180","75,470"
전라남도 나주시,"16,039","3,029","15,808","2,870","16,182","2,755","16,558","2,659","15,128",947
,410,"45,460","2,170","49,770","1,880","51,430","1,660","55,040","1,180","42,730"
전라남도 광양시,"38,270","1,136","38,406","1,310","42,791",925,"39,835",881,"38,253",260
,260,"139,030",870,"137,130",990,"156,450","2,600","151,150","2,590","130,040"
전라남도 담양군,"15,871","1,501","17,602","1,604","19,809","1,442","23,621","1,662","22,752",418
,470,"43,290","1,040","47,440","1,510","61,530",550,"86,180","1,130","63,530"
전라남도 곡성군,"9,905","1,346","9,001","1,341","9,136","1,269","10,422","1,369","12,336",412
,590,"26,870",510,"24,390",460,"24,840",770,"30,260",80,"33,890"
전라남도 구례군,"11,059","1,151","13,340","1,027","14,718","1,027","17,001","1,038","15,080",280
,690,"30,220",580,"40,820",250,"45,930",280,"63,770",900,"46,460"
전라남도 고흥군,"6,852","2,588","7,132","2,791","7,100","2,477","7,654","2,329","8,406",729
,390,"17,740",160,"17,280",180,"18,160",620,"21,170",370,"22,090"
전라남도 보성군,"7,842","1,989","8,022","1,865","8,595","1,643","9,140","1,814","9,632",493
,220,"18,000",570,"18,600",340,"18,950",480,"22,030","1,200","25,450"
전라남도 화순군,"13,917","1,807","14,727","1,993","14,360","1,749","15,443","1,826","16,465",475
,610,"44,110",470,"46,490",380,"45,570",350,"55,060","1,310","57,140"
전라남도 장흥군,"7,872","1,950","8,286","1,624","8,763","1,490","9,083","1,540","9,465",434
,340,"17,890",400,"20,030",600,"20,360",210,"23,420",480,"21,170"
전라남도 강진군,"7,276","1,481","7,832","1,445","8,153","1,366","8,687","1,346","9,670",410
,590,"15,320","1,100","17,260",700,"18,150",360,"22,440","1,200","21,500"
전라남도 해남군,"6,892","2,635","7,277","2,974","7,421","2,766","7,885","3,005","7,718",801
,530,"16,940",680,"19,000",740,"18,750",730,"24,800",730,"17,630"
전라남도 영암군,"8,393","2,422","8,752","2,384","9,215","2,075","9,586","2,037","9,401",669
,630,"18,370",430,"19,280",730,"22,770",830,"21,580","1,960","18,930"
전라남도 무안군,"14,894","1,642","15,923","2,147","15,140","1,864","14,147","1,999","15,217",477
,"1,170","45,450",480,"48,400",780,"46,910",110,"45,370","1,340","45,360"
전라남도 함평군,"9,130","1,870","9,831","1,855","9,953","1,833","10,722","1,825","10,090",464
,600,"23,470","1,270","25,290",990,"24,750",880,"28,590","1,050","27,170"
전라남도 영광군,"7,133","1,628","7,368","1,691","7,899","1,392","8,136","1,668","8,317",453
,790,"15,910",690,"16,630",730,"17,130",740,"19,000","1,670","19,240"
전라남도 장성군,"18,359","1,606","19,337","1,571","19,714","1,699","21,205","1,751","23,278",478
,700,"60,560","1,520","63,550",910,"63,060","1,620","66,550","4,380","71,820"
전라남도 완도군,"5,426","1,327","6,954","1,396","6,805","1,138","7,321","1,190","6,751",376
,400,"17,190",310,"24,370",410,"23,060",730,"25,420",500,"24,260"
전라남도 진도군,"5,218","1,277","5,232","1,274","5,514","1,033","5,770","1,124","5,830",361
,510,"12,240",360,"11,900",150,"12,690",340,"15,150",890,"13,470"
전라남도 신안군,"7,504","1,771","5,788","1,779","7,195","1,609","9,187","1,974","9,279",494
,700,"27,400",420,"19,200",190,"25,130",490,"40,000",440,"36,170"
경상북도 포항시 남구,"58,025",636,"59,177",827,"61,119",641,"61,386",589,"62,819",227
,"1,100","170,000","1,000","197,530",470,"187,140","2,260","242,020","3,120","229,430"
경상북도 포항시 북구,"39,592","1,933","45,443","1,604","43,683","1,405","40,205","1,512","36,626",440
,520,"172,290",670,"200,420",840,"190,660",950,"173,680","2,420","130,030"
경상북도 경주시,"50,056","3,411","45,797","3,303","53,480","3,063","57,827","3,543","63,099",897
,"1,380","178,570",320,"179,860",450,"197,280",830,"300,460","3,760","239,860"
경상북도 김천시,"22,069","2,102","23,964","2,200","24,028","2,252","29,561","2,408","26,386",805
,180,"81,950",30,"87,300",450,"85,380",810,"107,020",-,"91,860"
경상북도 안동시,"12,410","2,347","14,148","2,334","14,591","2,185","15,523","2,189","14,896",619
,220,"47,280",190,"60,200",200,"59,740",220,"75,640",550,"64,760"
경상북도 구미시,"34,060","1,416","44,740","1,429","40,148","1,311","48,259","1,349","47,287",435
,"1,720","121,020","1,850","173,950","1,740","163,210","1,520","221,420","3,420","166,410"
경상북도 영주시,"12,257","1,807","14,587","1,850","16,696","1,842","18,620","1,843","17,189",548
,520,"37,270",500,"45,000",840,"54,000",540,"60,530","2,340","49,510"
경상북도 영천시,"28,435","3,948","30,095","4,259","33,101","4,141","39,089","5,059","40,413","1,208"
,"1,310","90,320","1,070","92,210","1,600","98,770",490,"121,530",930,"125,670"
경상북도 상주시,"13,156","2,855","14,558","2,513","14,847","2,323","16,085","2,422","16,975",792
,460,"37,250","1,120","44,750",220,"44,530","1,270","45,410","1,070","51,410"
경상북도 문경시,"15,224","1,402","16,901","1,426","18,999","1,367","19,885","1,430","20,932",431
,790,"47,210",410,"52,110",100,"64,190",540,"68,780",640,"63,450"
경상북도 경산시,"57,642","1,350","53,584","1,215","63,724","1,448","67,180","1,829","70,116",653
,"3,770","181,450","2,460","167,490","2,130","203,960","1,000","232,730","4,490","214,760"
경상북도 군위군,"16,315","1,452","16,385","1,162","19,604","1,319","20,052","1,307","20,649",376
,700,"54,380","1,060","51,980",450,"65,840",910,"66,810","2,110","65,100"
경상북도 의성군,"9,421","3,345","9,491","2,763","10,694","2,793","11,885","2,679","13,038",869
,190,"25,240",330,"25,210",300,"29,700",90,"34,150",750,"33,970"
경상북도 청송군,"9,064","1,441","10,776","1,536","11,825","1,466","13,511","1,454","14,117",339
,310,"30,610",560,"33,330",620,"32,840",430,"42,000","1,110","40,580"
경상북도 영양군,"6,508",864,"7,365","1,100","7,561",980,"8,741","1,049","8,530",247
,250,"20,580",200,"23,260",220,"25,460",220,"30,760",330,"23,690"
경상북도 영덕군,"17,507","1,104","17,518","1,250","18,169","1,076","21,401","1,102","24,892",265
,600,"66,440",130,"66,410",740,"68,830",300,"99,370","1,200","102,760"
경상북도 청도군,"30,788","2,729","34,081","2,786","36,286","2,778","38,028","3,179","39,115",778
,370,"99,700",290,"104,840",800,"108,210","1,300","136,160","2,000","121,210"
경상북도 고령군,"35,258","1,147","38,220","1,161","31,498","1,077","36,261","1,191","40,942",358
,"2,680","122,410",480,"134,680","2,930","111,950","1,190","139,750","3,740","135,360"
경상북도 성주군,"18,671","2,110","22,845","2,316","23,933","2,262","27,722","2,613","28,499",540
,690,"55,920",250,"72,830",410,"72,980",250,"102,730",730,"97,310"
경상북도 칠곡군,"54,060","1,060","61,979","1,115","73,389","1,229","78,045","1,507","78,724",414
,"3,030","172,270","2,000","211,110","2,860","249,130",890,"299,180","2,760","251,090"
경상북도 예천군,"11,372","1,453","13,253","1,429","16,388","1,545","14,859","1,544","16,272",510
,580,"40,490",680,"45,450",300,"60,610",720,"52,920",600,"54,450"
경상북도 봉화군,"7,514","1,638","8,372","1,536","9,704","1,435","10,592","1,573","11,756",383
,180,"26,740",230,"27,500",380,"32,370",260,"38,960","1,510","34,750"
경상북도 울진군,"9,389",797,"10,221",793,"9,900",797,"10,967",793,"12,244",159
,380,"35,930",440,"33,510",40,"39,680",410,"43,570",420,"52,800"
경상북도 울릉군,"23,408",155,"34,618",119,"32,241",153,"34,769",103,"25,359",12
,370,"96,890",880,"130,430",510,"125,630","3,410","168,910","2,170","95,230"
경상남도 창원시 의창구,"89,322",847,"101,116","1,062","112,534",865,"107,173",932,"108,990",255
,"9,270","279,720","2,660","294,120","3,290","342,180","9,090","345,500","7,190","356,160"
경상남도 창원시 성산구,"125,986",25,"156,611",55,"157,776",39,"129,212",35,"224,413",12
,"25,950","210,080","30,240","267,440","30,200","285,610","44,350","242,420","31,530","358,870"
경상남도 창원시 마산합포구,"62,707",705,"68,778",780,"85,566",736,"83,412",735,"115,647",64
,"1,990","250,870","1,620","271,370",880,"333,330","2,520","333,170",600,"246,970"
경상남도 창원시 마산회원구,"106,419",163,"122,697",182,"120,213",227,"148,152",200,"167,062",44
,"3,030","272,870","1,110","287,010","12,060","355,870","5,030","439,950","28,980","406,390"
경상남도 창원시 진해구,"111,729",127,"129,041",196,"151,962",178,"160,375",214,"202,366",48
,"18,970","242,060","20,160","273,220","18,060","345,740","18,150","346,510","18,760","514,450"
경상남도 진주시,"37,658","1,770","35,349","2,071","37,682","1,848","39,559","2,022","35,494",455
,580,"151,200",720,"142,860","1,100","147,290",430,"159,190",400,"134,340"
경상남도 통영시,"48,926","1,226","57,851","1,131","47,379","1,189","53,846","1,058","76,274",226
,570,"208,660",300,"242,540",400,"189,040",540,"242,170",730,"318,300"
경상남도 사천시,"46,295","1,322","40,745","1,157","45,176",987,"43,210","1,109","41,583",301
,870,"190,570","1,430","160,680",920,"187,760","1,580","166,390","1,700","151,510"
경상남도 김해시,"129,112","1,984","138,828","1,892","134,872","1,813","138,329","1,971","123,452",509
,"4,560","417,050",470,"438,630","2,380","425,620","1,190","524,340","2,220","368,420"
경상남도 밀양시,"46,938","3,260","55,087","3,015","55,137","3,050","55,194","3,205","58,812",826
,810,"135,940",380,"165,000",630,"163,490",100,"183,050","5,070","176,690"
경상남도 거제시,"119,017","1,882","129,288","1,815","151,130","1,531","134,384","1,716","131,137",402
,400,"409,380","2,700","440,250","7,110","528,460","4,490","483,670","5,680","482,560"
경상남도 양산시,"92,343",703,"99,558",889,"99,561",715,"115,910",848,"98,629",214
,"4,300","302,500","5,370","303,030",690,"330,000","1,140","332,450",680,"300,750"
경상남도 의령군,"14,565","1,369","16,241","1,313","17,696","1,281","19,494","1,231","16,272",282
,330,"46,080",520,"51,410",330,"55,320",600,"60,750",400,"55,350"
경상남도 함안군,"45,284","2,458","59,699","2,761","56,458","2,457","58,486","2,011","64,919",533
,250,"153,510",960,"213,330","2,780","194,660","1,720","204,560","1,190","220,230"
경상남도 창녕군,"26,918","3,131","28,262","2,851","31,231","2,754","34,838","2,615","32,390",655
,140,"80,920",160,"82,350","1,180","95,080","1,160","138,330",710,"95,570"
경상남도 고성군,"32,997","2,064","34,557","1,980","32,536","2,069","32,867","2,022","30,281",484
,470,"115,300",860,"126,470",500,"116,110","1,190","124,450","1,850","105,100"
경상남도 남해군,"37,640","1,908","37,854","1,930","43,812","1,865","40,745","1,817","42,651",429
,"1,270","142,160","1,150","148,260","1,160","171,720",990,"151,790","1,670","151,760"
경상남도 하동군,"19,828","1,838","21,684","2,138","19,425","1,841","24,939","1,833","25,562",513
,430,"75,760",280,"79,050",260,"73,360",320,"104,360",600,"93,930"
경상남도 산청군,"18,380","1,568","18,498","1,517","21,627","1,368","22,854","1,403","23,517",154
,500,"62,120",840,"65,870",30,"77,680",970,"78,780","1,960","69,570"
경상남도 함양군,"13,485","1,525","14,121","1,354","14,695","1,405","14,914","1,302","16,396",395
,700,"45,600",90,"47,620","1,410","47,100",270,"49,350",750,"54,580"
경상남도 거창군,"10,448","1,594","12,114","1,669","11,834","1,569","12,743","1,581","14,704",461
,190,"33,610",20,"42,150",160,"38,480",130,"44,860",610,"47,610"
경상남도 합천군,"9,721","2,124","10,244","2,088","11,995","1,979","12,265","2,256","12,637",596
,260,"28,320",380,"31,970",500,"34,750",390,"35,220","1,070","36,270"
제주특별자치도 제주시,"43,981","2,206","47,735","2,995","63,847","3,278","60,266","3,894","60,733","1,120"
,"1,630","190,540","2,650","198,840","2,310","270,830","1,090","256,900",800,"232,400"
제주특별자치도 서귀포시,"40,803","1,984","43,773","2,193","53,687","2,424","62,285","3,386","71,344",947
,"2,000","147,240","1,450","151,240","2,150","188,300","1,680","238,870","3,010","277,920"
