행정구역별,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
행정구역별,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타,평균재배면적,논벼,맥류잡곡,서류,두류,채소,화훼,특용,과수,기타
강원특별자치도,5264,5630,1091,1258,2240,2326,1257,1388,3140,6979,4376,4536,1318,1225,2149,2571,642,1444,3140,1961,5054,4498,1370,1273,1982,2549,3078,2905,2739,6406,4103,3980,1525,1260,1990,1986,2309,1734,3139,2749,3429,4469,1261,1075,1514,1884,1300,1443,1933,2443,3684,4887,1451,1849,1707,1694,720,1782,1869,2755,4252,3970,1636,1719,2070,1947,2131,2548,1872,3258,3247,2980,1342,976,1855,1402,626,1317,1911,2403,3000,3484,1092,531,1279,1410,467,1203,1548,1201,3145,4630,1062,807,965,1383,1896,1066,1390,1642,3132,4478,1142,813,1122,1333,3944,1119,1308,2733,3030,4167,1515,536,1180,1437,548,1022,1558,2645
전라남도,5276,4260,1755,1738,1620,2216,2744,1119,3973,1850,5031,4536,1953,1395,1790,2073,1747,2121,4168,4657,4627,4250,3139,1843,1405,2292,2949,1514,3095,3171,3933,3553,2384,1734,1530,2422,1684,1435,2984,3792,4187,4167,3020,3216,1293,2233,1779,1760,2839,2773,3722,3405,2336,2095,1517,2086,2571,1389,2580,2930,3797,3642,1974,1870,1289,1738,2562,1587,2273,2642,3205,3359,1713,1318,1052,1538,2557,1071,1745,2415,3306,3678,1625,1197,1040,1533,2132,1087,1917,2296,3218,3741,1581,972,947,1335,2161,1190,1734,2979,3494,3843,1853,788,1217,1309,2596,857,1686,3600,3606,3659,2008,2152,1646,1575,3325,1889,1649,2847
경상북도,4748,3781,869,861,1647,1789,1171,1127,3879,2313,4775,3151,1751,1127,2098,2203,2077,3078,3899,2849,4537,3581,1888,1551,1456,2251,3018,1723,3569,3779,4235,3279,1720,1472,1753,2052,2094,1843,3902,2817,4040,3477,1664,904,1864,1922,1625,2442,3175,1865,3859,3240,1302,738,1824,2062,1432,1790,3125,4034,3695,3037,2401,651,1837,1827,1139,1245,2874,2179,3456,3127,1403,799,1469,1790,1395,1152,2811,1923,3227,3109,1041,646,1411,1357,1756,1340,2615,1618,3170,3016,856,535,1489,1179,2644,998,2589,2173,3130,2987,1129,476,1579,1364,1342,1162,2370,2326,3053,3000,1298,590,1488,1247,1497,944,2286,2265
경상남도,4161,3486,972,493,802,1701,1605,1076,3412,1293,4096,3153,2204,803,1042,2017,1556,1359,2980,2096,3897,3108,1182,769,791,1890,1507,1737,3127,2711,3255,3016,1409,719,1028,1871,973,1357,2073,1283,3361,3022,1265,650,960,1782,629,1468,2133,2520,3276,2912,1330,744,874,1745,643,1327,2383,1832,3056,2821,2291,814,871,1507,1106,881,1792,2217,2756,2675,1104,521,664,1404,990,776,1687,1404,2790,2660,1148,550,713,1467,901,838,1493,1250,2877,3125,1154,392,642,1290,799,728,1483,1271,2676,2463,1157,499,691,1310,839,843,1582,1987,2715,2606,980,431,585,1540,758,769,1491,1737
