시도별,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
시도별,합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤)
강원도,46615,203894,28405,127387,177,398,6289,30972,5940,9560,5804,35576,47487,237439,28903,155501,180,392,6883,33535,5275,10899,6246,37112,46542,221240,28708,143908,98,201,6317,30740,5741,10054,5678,36338,46606,231810,28335,149712,75,176,7115,33114,4966,10428,6115,38379,45697,225818,27651,145893,27,53,6634,32264,5226,10333,6160,37276
전라남도,197026,808045,156230,687812,17874,51284,4555,14640,9939,12339,8428,41971,192407,917176,155435,789650,14491,48612,4657,19413,9380,15918,8444,43583,192493,867716,154679,742913,12932,39869,5157,19199,10973,20674,8753,45061,191133,879301,149878,736985,15010,46749,6772,24730,10641,20526,8832,50312,191188,840704,147738,709368,12130,29232,10540,30138,12258,22049,8522,49917
경상북도,115072,541636,97257,495058,1456,3319,1471,5623,10118,17258,4770,20378,113316,571131,95837,518025,823,2085,1467,5480,10953,24981,4235,20559,113454,558336,94757,511392,609,1322,1477,5025,12887,24905,3724,15692,111524,548995,93252,501248,757,2170,1653,5240,12063,22850,3799,17486,109443,533454,89339,479887,976,2634,1877,6295,13158,24830,4092,19808
경상남도,78867,362807,65028,314333,4707,13040,1260,13431,3901,6008,3970,15995,75005,375426,64079,338698,3348,10509,1046,6575,3555,5939,2977,13705,75329,368004,64481,330604,2945,8392,1103,10107,3743,6409,3058,12491,73466,357978,63437,324842,2593,7598,997,6516,3702,6694,2737,12328,73069,347361,62479,313983,2288,5901,1832,8028,3795,6593,2675,12856
