행정구역별,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024
행정구역별,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상,재배가구수,0.5ha미만,0.5~1.0ha미만,1.0~2.0ha미만,2.0ha이상
강원특별자치도,446,317,76,36,17,466,362,66,31,7,596,439,108,33,16,678,527,104,36,11,656,539,88,23,6,660,543,78,32,7,624,505,74,31,14,651,548,82,15,6,673,581,68,22,X,667,575,58,27,7,407,350,38,13,6,338,289,38,10,X
전라남도,693,483,113,74,23,821,600,140,54,27,1041,769,175,71,26,1079,868,138,57,16,1090,876,150,44,20,1194,955,177,49,13,1242,983,194,52,13,1585,1348,187,38,12,1751,1486,200,52,13,1504,1312,142,35,15,1223,1050,119,38,16,1017,868,104,34,11
경상북도,1080,714,268,90,8,1275,919,244,95,17,1434,1040,265,112,17,1566,1148,315,88,15,1485,1161,246,63,15,1451,1119,257,66,9,1418,1137,212,59,10,1498,1195,243,56,4,1907,1614,242,45,6,1942,1661,224,51,6,1315,1129,154,25,7,1070,926,112,26,6
경상남도,670,518,121,21,10,731,571,115,32,13,1005,824,130,35,16,1062,907,121,29,5,1083,912,131,34,6,1016,871,109,28,8,877,757,95,24,X,931,824,94,12,X,1194,1052,123,16,X,1145,1014,109,16,6,792,713,61,15,X,656,585,58,13,0
