"시도별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"시도별",조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤),조미채소:면적 (ha),조미채소:생산량 (톤),고추:면적 (ha),고추:생산량 (톤),건고추:면적 (ha),건고추:10a당 생산량 (kg),건고추:생산량 (톤),풋고추:면적 (ha),풋고추:10a당 생산량 (kg),풋고추:생산량 (톤),양파:면적 (ha),양파:10a당 생산량 (kg),양파:생산량 (톤),마늘:면적 (ha),마늘:10a당 생산량 (kg),마늘:생산량 (톤)
"강원도",5370,73352,3917,39687,3063,195,5971,854,3948,33716,37,2892,1070,395,896,3539,5231,87724,3515,32601,2674,242,6463,841,3108,26138,59,3463,2043,377,677,2551,5062,63715,3677,33982,2780,252,7009,897,3007,26973,46,4025,1852,307,777,2385,3980,56455,3092,39967,2076,224,4651,1016,3476,35316,16,6224,996,180,807,1452,4161,63136,2938,33876,2064,180,3713,875,3449,30163,33,5911,1962,263,800,2100,4319,61085,3069,33335,2113,231,4890,956,2975,28445,60,5542,3334,265,754,1999,4905,74982,3516,37164,2557,226,5791,959,3270,31373,102,6014,6112,239,780,1865,4507,74075,3064,31045,2251,203,4578,812,3258,26467,76,5864,4455,236,1049,2476,5040,88062,3440,41124,2401,309,7430,1039,3244,33694,131,6484,8480,314,922,2891,4722,80138,3034,32805,2155,231,4977,880,3163,27828,62,5046,3136,317,819,2594,5021,91989,3127,36856,2166,267,5785,961,3233,31071,99,5278,5251,313,855,2674,5250,105001,3029,36796,2048,255,5231,981,3218,31565,113,6805,7714,271,894,2418,-,-,-,-,-,-,-,-,-,-,134,6340,8526,262,998,2614
"전라남도",34158,903422,9396,41869,8859,277,24561,537,3223,17308,10124,5730,580151,8895,1228,109263,32206,1056435,7412,36398,6792,242,16434,620,3220,19964,12080,6319,763335,7374,1307,96403,27278,815304,6891,39700,6194,283,17535,697,3180,22165,9171,5923,543208,5425,1218,66059,25196,807275,5924,32945,5367,264,14174,557,3370,18771,9521,5981,569472,5099,1163,59291,25337,778131,4872,26182,4421,228,10077,450,3575,16105,9230,5578,514896,6346,1105,70104,28159,807413,4882,24333,4456,239,10651,426,3209,13682,11327,4932,558659,6030,996,60089,24411,845535,5301,25192,4914,232,11413,387,3558,13779,8467,6873,581958,5803,1270,73674,20848,702653,5195,28933,4682,212,9941,513,3703,18992,5743,7883,452737,5326,1322,70437,22465,864152,5800,40547,5067,261,13248,733,3723,27299,6775,8547,579053,3917,1219,47749,21371,724946,5049,30215,4531,242,10978,519,3710,19237,6676,7014,468234,3887,1102,42828,20164,640024,4616,28823,4050,192,7775,566,3718,21048,6079,6478,393809,4061,1080,43850,21002,627790,4608,29116,4094,252,10333,514,3654,18783,6862,5449,373914,3443,855,29430,-,-,-,-,-,-,-,-,-,-,5979,6090,364157,2894,1185,34292
"경상북도",19862,324868,11002,40728,10725,306,32864,277,2839,7864,2373,7464,177115,4495,1518,68244,17371,315036,8725,24487,8587,243,20902,138,2598,3585,2602,7193,187158,3863,1548,59802,16319,251474,8583,28771,8387,289,24214,196,2325,4557,2080,6463,134423,3402,1352,46001,16098,273475,7642,26837,7426,271,20111,216,3114,6726,2057,7117,146390,3850,1425,54851,15867,254463,6524,17502,6368,190,12073,156,3484,5429,2087,5974,124702,4734,1279,60563,18441,353027,6936,20929,6768,254,17182,168,2228,3747,3369,6296,212066,6086,1396,84952,18613,409819,7370,24319,7212,260,18786,158,3505,5533,3309,7471,247231,5998,1679,100699,17757,336673,8009,20621,7906,214,16955,103,3552,3666,2365,8098,191509,5117,1623,83020,19301,455561,8902,29884,8751,282,24699,151,3436,5185,3159,9739,307652,4461,1477,65901,17431,332721,8048,22487,7897,221,17456,152,3315,5031,2771,7542,208970,4536,1373,62262,17825,373400,7413,20805,7269,221,16084,144,3288,4721,2986,7860,234667,5208,1466,76362,17222,333997,7431,23619,7280,252,18379,151,3478,5240,2696,7346,198037,4568,1407,64278,-,-,-,-,-,-,-,-,-,-,2213,7507,166111,4639,1552,72004
"경상남도",16443,585586,4595,81038,2982,266,7937,1613,4532,73101,4609,8230,379299,6542,1668,109090,15291,579863,3989,95327,2335,194,4539,1654,5489,90788,5294,7237,383139,5538,1630,90254,13055,412241,3722,80088,2234,279,6239,1488,4963,73849,3766,6581,247845,5057,1424,72010,13990,525982,3829,86267,2110,269,5680,1719,4688,80587,4749,7434,353063,4651,1502,69874,14419,442182,4120,112054,1948,265,5160,2172,4921,106894,3938,6081,239459,5387,1349,72649,17508,589803,4470,127225,2024,255,5155,2446,4990,122070,5471,6601,361120,6614,1200,79363,16155,573473,4248,104975,2237,239,5345,2011,4955,99630,4330,8170,353752,6598,1484,97925,14195,471373,4378,113149,2186,206,4501,2191,4958,108648,2825,8783,248082,6266,1556,97511,14319,517043,3844,84910,2218,253,5604,1626,4876,79306,4023,8423,338881,5732,1406,80609,14371,405846,3585,79745,2077,215,4467,1508,4991,75278,3777,6276,237057,6402,1227,78547,14940,432050,3319,73132,1916,206,3946,1403,4933,69186,3482,7182,250055,7519,1292,97122,14846,458376,3200,75105,1764,257,4527,1436,4915,70578,3860,7120,274810,7033,1344,94537,-,-,-,-,-,-,-,-,-,-,3806,7078,269403,7325,1339,98087
