"시도별",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),사과:면적 (ha),사과:10a당 생산량 (kg),사과:생산량 (톤),배:면적 (ha),배:10a당 생산량 (kg),배:생산량 (톤),복숭아:면적 (ha),복숭아:10a당 생산량 (kg),복숭아:생산량 (톤),포도:면적 (ha),포도:10a당 생산량 (kg),포도:생산량 (톤),감귤:면적 (ha),감귤:10a당 생산량 (kg),감귤:생산량 (톤),감:면적 (ha),감:10a당 생산량 (kg),감:생산량 (톤),단감:면적 (ha),단감:10a당 생산량 (kg),단감:생산량 (톤),떫은감:면적 (ha),떫은감:10a당 생산량 (kg),떫은감:생산량 (톤),자두:면적 (ha),자두:10a당 생산량 (kg),자두:생산량 (톤),매실:면적 (ha),매실:10a당 생산량 (kg),매실:생산량 (톤)
"강원도",1771,22824,542,1935,10486,188,1638,3080,464,910,4224,208,1180,2454,0,0,0,211,936,1971,3,561,14,208,940,1957,29,752,221,129,302,388,1761,18772,517,1590,8215,124,953,1185,472,816,3851,207,1220,2530,0,0,0,240,807,1940,2,522,9,239,809,1931,59,706,417,141,451,633,2443,35991,1053,2232,23503,101,1594,1610,660,831,5483,205,1224,2510,0,0,0,242,725,1753,1,530,7,241,726,1746,79,820,651,103,466,481,2642,38294,1192,2085,24852,97,1613,1565,692,830,5741,209,1165,2439,0,0,0,247,949,2343,5,420,20,242,960,2323,119,816,973,86,445,381,2655,31595,1217,1621,19729,110,806,889,722,786,5679,182,1221,2218,0,0,0,234,853,2000,5,586,30,229,859,1971,87,753,657,102,414,422,2605,35944,1226,1852,22699,83,1913,1590,674,908,6124,195,1309,2550,-,-,-,246,784,1927,5,603,29,241,787,1899,83,765,638,98,425,415
"전라남도",11759,139165,390,1402,5471,2123,2383,50582,596,1039,6187,233,1406,3275,46,1525,707,4821,1089,52483,2219,1015,22529,2602,1151,29954,60,971,578,3491,570,19882,11120,90932,389,757,2944,2049,1356,27788,598,953,5702,214,1162,2482,47,1268,600,4588,794,36439,2095,970,20320,2494,646,16119,62,381,237,3172,465,14739,10310,124390,122,1341,1635,2440,2818,68762,583,991,5779,162,1365,2215,91,1298,1175,4406,752,33119,1797,1032,18548,2610,558,14571,49,374,182,2458,469,11523,10971,151616,141,1673,2351,2587,3435,88866,678,964,6532,162,1338,2163,62,1355,845,4635,814,37709,1957,1050,20551,2677,641,17158,62,363,226,2645,489,12924,10583,114186,159,678,1080,2485,2509,62346,669,732,4898,213,1288,2741,99,1276,1258,4465,692,30894,1854,924,17132,2611,527,13762,75,362,270,2418,443,10699,10078,108269,157,337,528,2400,2234,53613,666,684,4556,214,1365,2921,108,1133,1228,4229,866,36621,1728,1094,18901,2500,709,17720,62,332,206,2243,383,8596
"경상북도",37761,692022,14723,2296,338085,1020,2096,21378,6884,1535,105669,5306,1666,88416,3,372,12,4896,1878,91937,370,1193,4412,4526,1934,87525,4377,997,43631,552,525,2894,37072,580823,14323,1941,277942,962,1123,10796,7124,1382,98440,4853,1855,90022,3,1117,36,4848,1200,58195,347,969,3358,4501,1218,54836,4472,961,42978,488,495,2414,38819,621513,16469,1876,309034,1035,2203,22793,7175,1415,101503,5065,1800,91140,4,1236,51,4187,1239,51863,421,971,4092,3766,1269,47771,4552,956,43491,332,493,1638,38615,666555,15677,2108,330532,942,2901,27318,7146,1417,101250,5873,1776,104288,3,1223,37,4253,1325,56372,373,989,3689,3880,1358,52683,4426,1023,45284,294,501,1474,37991,568873,14867,1648,244990,921,2156,19855,6941,1372,95221,6626,1644,108907,3,1258,37,4058,1398,56721,342,829,2832,3717,1450,53889,4318,969,41853,256,504,1290,37883,640005,14137,2024,286099,905,2303,20840,7505,1392,104457,7247,1801,130512,3,1056,32,4118,1498,61689,327,807,2635,3791,1558,59055,3742,942,35252,227,496,1123
"경상남도",11635,171482,2388,2602,62136,414,1265,5245,363,1343,4876,250,2007,5023,0,1459,2,6645,1238,82270,4700,1354,63656,1945,957,18614,195,934,1822,1379,733,10108,11368,149825,2639,1826,48194,286,1022,2924,380,1504,5716,245,1663,4070,0,781,1,6390,1201,76745,4569,1320,60307,1821,903,16439,192,1240,2382,1235,793,9794,12133,177952,2708,2493,67524,329,1498,4936,343,1210,4145,218,1428,3113,5,996,48,7276,1218,88612,5540,1302,72131,1736,950,16481,202,787,1592,1051,759,7982,12874,196532,2763,2809,77610,398,1692,6727,352,1226,4317,212,1495,3176,13,1069,142,7720,1235,95317,5765,1304,75155,1955,1031,20162,238,766,1825,1177,630,7418,12490,138906,2621,1842,48286,386,628,2425,340,1010,3432,250,1378,3445,13,1023,134,7561,978,73948,5580,1065,59399,1981,734,14549,239,622,1485,1081,532,5751,12555,158715,2580,2037,52553,385,1541,5924,409,1026,4195,284,1346,3817,11,1031,109,7614,1106,84223,5624,1180,66355,1990,898,17868,282,747,2106,991,584,5787
